,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,0,0,0,ADAMANTINA,3500105.0,35111.0,2068.0,543.0,0.0,2611.0,5.889892056620432,1.546523881404688,2021-02-21,11.0,1.0,16.571428571428573,0.5714285714285714,79.81,43.0,0.0
1,1,1,1,ADAMANTINA,3500105.0,35111.0,2079.0,547.0,0.0,2626.0,5.921221269687562,1.557916322520008,2021-02-22,24.0,1.0,17.428571428571427,0.5714285714285714,80.29,37.25,0.0
2,2,2,2,ADAMANTINA,3500105.0,35111.0,2104.0,608.0,0.0,2712.0,5.992424026658312,1.731651049528638,2021-02-23,13.0,0.0,15.142857142857142,0.5714285714285714,80.77,38.25,0.0
3,3,3,3,ADAMANTINA,3500105.0,35111.0,2110.0,615.0,0.0,2725.0,6.009512688331292,1.751587821480448,2021-02-24,10.0,1.0,14.285714285714286,0.5714285714285714,79.81,50.25,0.0
4,4,4,4,ADAMANTINA,3500105.0,35111.0,2125.0,739.0,0.0,2864.0,6.052234342513742,2.104753496055367,2021-02-25,7.0,1.0,11.714285714285714,0.7142857142857143,77.03,38.0,0.0
5,5,5,5,ADAMANTINA,3500105.0,35111.0,2125.0,740.0,0.0,2865.0,6.052234342513742,2.1076016063341974,2021-02-26,5.0,0.0,11.142857142857142,0.5714285714285714,77.88,36.75,0.0
6,6,6,6,ADAMANTINA,3500105.0,35111.0,2125.0,740.0,0.0,2865.0,6.052234342513742,2.1076016063341974,2021-02-27,8.0,0.0,11.142857142857142,0.5714285714285714,80.77,39.75,0.0
7,7,7,7,ADAMANTINA,3500105.0,35111.0,2125.0,740.0,0.0,2865.0,6.052234342513742,2.1076016063341974,2021-02-28,3.0,0.0,10.0,0.4285714285714285,81.34,47.25,0.0
8,8,8,8,ADAMANTINA,3500105.0,35111.0,2208.0,755.0,0.0,2963.0,6.288627495656632,2.150323260516647,2021-03-01,14.0,0.0,8.571428571428571,0.2857142857142857,82.3,37.75,0.0
9,9,9,9,ADAMANTINA,3500105.0,35111.0,2527.0,1003.0,0.0,3530.0,7.1971746746034,2.856654609666486,2021-03-02,9.0,2.0,8.0,0.5714285714285714,85.17,39.75,0.0
10,10,10,10,ADAMANTINA,3500105.0,35111.0,2904.0,1111.0,0.0,4015.0,8.27091224972231,3.1642505197801256,2021-03-03,12.0,0.0,8.285714285714286,0.4285714285714285,86.6,39.5,0.0
11,11,11,11,ADAMANTINA,3500105.0,35111.0,2905.0,1111.0,0.0,4016.0,8.27376036000114,3.1642505197801256,2021-03-04,7.0,0.0,8.285714285714286,0.2857142857142857,85.78,39.5,0.0
12,12,12,12,ADAMANTINA,3500105.0,35111.0,2972.0,1242.0,0.0,4214.0,8.464583748682749,3.537352966306856,2021-03-05,12.0,0.0,9.285714285714286,0.2857142857142857,88.04,39.25,0.0
