,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,CORDEIRÓPOLIS,3512407.0,24826.0,737.0,367.0,0.0,1104.0,2.968661886731652,1.4782888906791267,2021-02-21,18.0,0.0,10.142857142857142,0.1428571428571428,"57,32",46.142857142857146,0.0
1,CORDEIRÓPOLIS,3512407.0,24826.0,761.0,53.0,0.0,814.0,3.065334729718843,0.2134858615967131,2021-02-22,19.0,0.0,11.142857142857142,0.1428571428571428,"59,76",37.285714285714285,0.0
2,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,54.0,0.0,841.0,3.1700636429549665,0.2175138967211794,2021-02-23,11.0,1.0,11.142857142857142,0.2857142857142857,"58,59",38.57142857142857,0.0
3,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,31.0,0.0,818.0,3.1700636429549665,0.1248690888584548,2021-02-24,12.0,0.0,11.571428571428571,0.2857142857142857,"63,45",46.142857142857146,0.0
4,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,31.0,0.0,818.0,3.1700636429549665,0.1248690888584548,2021-02-25,8.0,0.0,11.714285714285714,0.1428571428571428,"62,76",38.285714285714285,0.0
5,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,31.0,0.0,818.0,3.1700636429549665,0.1248690888584548,2021-02-26,14.0,0.0,12.571428571428571,0.1428571428571428,"64,22",38.0,0.0
6,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,31.0,0.0,818.0,3.1700636429549665,0.1248690888584548,2021-02-27,4.0,0.0,12.285714285714286,0.1428571428571428,"61,41",41.42857142857143,0.0
7,CORDEIRÓPOLIS,3512407.0,24826.0,787.0,31.0,0.0,818.0,3.1700636429549665,0.1248690888584548,2021-02-28,6.0,0.0,10.571428571428571,0.1428571428571428,"68,82",47.71428571428572,0.0
8,CORDEIRÓPOLIS,3512407.0,24826.0,908.0,31.0,0.0,939.0,3.657455893015387,0.1248690888584548,2021-03-01,25.0,0.0,11.428571428571429,0.1428571428571428,"68,36",38.0,0.0
9,CORDEIRÓPOLIS,3512407.0,24826.0,923.0,72.0,0.0,995.0,3.717876419882381,0.2900185289615725,2021-03-02,12.0,0.0,11.571428571428571,0.0,"72,63",39.285714285714285,0.0
10,CORDEIRÓPOLIS,3512407.0,24826.0,983.0,107.0,0.0,1090.0,3.9595585273503584,0.4309997583178925,2021-03-03,14.0,0.0,11.857142857142858,0.0,"76,29",38.57142857142857,0.0
11,CORDEIRÓPOLIS,3512407.0,24826.0,1024.0,113.0,0.0,1137.0,4.124707967453476,0.4551679690646902,2021-03-04,15.0,0.0,12.857142857142858,0.0,"77,52",38.71428571428572,0.0
12,CORDEIRÓPOLIS,3512407.0,24826.0,1079.0,114.0,0.0,1193.0,4.346249899299122,0.4591960041891565,2021-03-05,12.0,0.0,12.571428571428571,0.0,"79,43",38.285714285714285,0.0
13,CORDEIRÓPOLIS,3512407.0,24826.0,1079.0,114.0,0.0,1193.0,4.346249899299122,0.4591960041891565,2021-03-06,15.0,0.0,14.142857142857142,0.0,"82,50",44.85714285714285,0.0
14,CORDEIRÓPOLIS,3512407.0,24826.0,1079.0,114.0,0.0,1193.0,4.346249899299122,0.4591960041891565,2021-03-07,11.0,0.0,14.857142857142858,0.0,"79,67",50.57142857142857,0.0
15,CORDEIRÓPOLIS,3512407.0,24826.0,1095.0,150.0,0.0,1245.0,4.410698461290583,0.6042052686699428,2021-03-08,14.0,0.0,13.285714285714286,0.0,"80,98",40.71428571428572,0.0
16,CORDEIRÓPOLIS,3512407.0,24826.0,1139.0,164.0,0.0,1303.0,4.587932006767099,0.6605977604124708,2021-03-09,17.0,1.0,14.0,0.1428571428571428,"83,61",41.57142857142857,0.0
17,CORDEIRÓPOLIS,3512407.0,24826.0,1271.0,172.0,0.0,1443.0,5.119632643196648,0.692822041408201,2021-03-10,20.0,2.0,14.857142857142858,0.4285714285714285,"83,15",41.57142857142857,0.0
18,CORDEIRÓPOLIS,3512407.0,24826.0,1358.0,254.0,0.0,1612.0,5.470071699025215,1.0231209216144364,2021-03-11,22.0,0.0,15.857142857142858,0.4285714285714285,"82,62",40.285714285714285,0.0
19,CORDEIRÓPOLIS,3512407.0,24826.0,1415.0,323.0,0.0,1738.0,5.699669701119793,1.30105534520261,2021-03-12,19.0,0.0,16.857142857142858,0.4285714285714285,"85,79",40.42857142857143,0.0
20,CORDEIRÓPOLIS,3512407.0,24826.0,1415.0,323.0,0.0,1738.0,5.699669701119793,1.30105534520261,2021-03-13,30.0,0.0,19.0,0.4285714285714285,"82,57",44.85714285714285,0.0
