,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data,diagnostico_covid19,obito,media_movel_casos,media_movel_obitos,ocupacao_leitos,media_isolamento,Mean.R
0,LENÇÓIS PAULISTA,3526803.0,68990.0,2160.0,745.0,0.0,2905.0,3.130888534570228,1.0798666473401943,2021-02-21,32.0,1.0,28.714285714285715,0.1428571428571428,90.31,47.0,0.0
1,LENÇÓIS PAULISTA,3526803.0,68990.0,2192.0,70.0,0.0,2262.0,3.1772720684157125,0.1014639802869981,2021-02-22,55.0,0.0,32.142857142857146,0.1428571428571428,91.60,39,0.0
2,LENÇÓIS PAULISTA,3526803.0,68990.0,2202.0,70.0,0.0,2272.0,3.1917669227424263,0.1014639802869981,2021-02-23,28.0,0.0,33.0,0.1428571428571428,93.05,39.0,0.0
3,LENÇÓIS PAULISTA,3526803.0,68990.0,2215.0,151.0,0.0,2366.0,3.2106102333671545,0.2188723003333816,2021-02-24,43.0,0.0,35.42857142857143,0.1428571428571428,94.98,54,0.0
4,LENÇÓIS PAULISTA,3526803.0,68990.0,2220.0,152.0,0.0,2372.0,3.217857660530512,0.220321785766053,2021-02-25,50.0,2.0,38.57142857142857,0.4285714285714285,95.51,39.333333333333336,0.0
5,LENÇÓIS PAULISTA,3526803.0,68990.0,2224.0,152.0,0.0,2376.0,3.2236556022611973,0.220321785766053,2021-02-26,40.0,1.0,39.42857142857143,0.5714285714285714,94.34,38,0.0
6,LENÇÓIS PAULISTA,3526803.0,68990.0,2224.0,344.0,0.0,2568.0,3.2236556022611973,0.4986229888389621,2021-02-27,53.0,2.0,43.0,0.8571428571428571,96.28,41,0.0
7,LENÇÓIS PAULISTA,3526803.0,68990.0,2224.0,344.0,0.0,2568.0,3.2236556022611973,0.4986229888389621,2021-02-28,111.0,3.0,54.285714285714285,1.1428571428571428,96.35,47,0.0
8,LENÇÓIS PAULISTA,3526803.0,68990.0,2359.0,353.0,0.0,2712.0,3.4193361356718364,0.5116683577330048,2021-03-01,61.0,4.0,55.142857142857146,1.7142857142857142,97.46,38,0.0
9,LENÇÓIS PAULISTA,3526803.0,68990.0,2694.0,922.0,0.0,3616.0,3.904913755616756,1.3364255689230324,2021-03-02,58.0,0.0,59.42857142857143,1.7142857142857142,95.64,39,0.0
10,LENÇÓIS PAULISTA,3526803.0,68990.0,3072.0,1152.0,0.0,4224.0,4.452819249166546,1.6698072184374548,2021-03-03,71.0,2.0,63.42857142857143,2.0,94.64,38,0.0
11,LENÇÓIS PAULISTA,3526803.0,68990.0,3080.0,1152.0,0.0,4232.0,4.464415132627917,1.6698072184374548,2021-03-04,55.0,1.0,64.14285714285714,1.8571428571428568,96.32,39.666666666666664,0.0
12,LENÇÓIS PAULISTA,3526803.0,68990.0,3148.0,1198.0,0.0,4346.0,4.562980142049573,1.7364835483403391,2021-03-05,90.0,0.0,71.28571428571429,1.7142857142857142,94.62,39.5,0.0
13,LENÇÓIS PAULISTA,3526803.0,68990.0,3367.0,1220.0,0.0,4587.0,4.880417451804609,1.76837222785911,2021-03-06,63.0,2.0,72.71428571428571,1.7142857142857142,96.42,42,0.0
14,LENÇÓIS PAULISTA,3526803.0,68990.0,3367.0,1220.0,0.0,4587.0,4.880417451804609,1.76837222785911,2021-03-07,71.0,1.0,67.0,1.4285714285714286,97.54,49.666666666666664,0.0
15,LENÇÓIS PAULISTA,3526803.0,68990.0,3400.0,1306.0,0.0,4706.0,4.928250471082766,1.8930279750688503,2021-03-08,94.0,1.0,71.71428571428571,1.0,95.27,39,0.0
16,LENÇÓIS PAULISTA,3526803.0,68990.0,3424.0,1342.0,0.0,4766.0,4.963038121466879,1.945209450645021,2021-03-09,88.0,3.0,76.0,1.4285714285714286,98.95,39,0.0
17,LENÇÓIS PAULISTA,3526803.0,68990.0,3438.0,1364.0,0.0,4802.0,4.983330917524279,1.977098130163792,2021-03-10,103.0,4.0,80.57142857142857,1.7142857142857142,98.26,39,0.0
18,LENÇÓIS PAULISTA,3526803.0,68990.0,3446.0,1375.0,0.0,4821.0,4.994926800985651,1.9930424699231768,2021-03-11,90.0,2.0,85.57142857142857,1.8571428571428568,97.97,40,0.0
19,LENÇÓIS PAULISTA,3526803.0,68990.0,3458.0,1405.0,0.0,4863.0,5.012320626177707,2.03652703290332,2021-03-12,126.0,3.0,90.71428571428572,2.2857142857142856,92.74,39.0,0.0
20,LENÇÓIS PAULISTA,3526803.0,68990.0,3827.0,1407.0,0.0,5234.0,5.547180750833454,2.039426003768662,2021-03-13,118.0,3.0,98.57142857142856,2.4285714285714284,94.95,43.666666666666664,0.0
21,LENÇÓIS PAULISTA,3526803.0,68990.0,3827.0,1407.0,0.0,5234.0,5.547180750833454,2.039426003768662,2021-03-14,86.0,2.0,100.71428571428572,2.571428571428572,96.55,49,0.0
22,LENÇÓIS PAULISTA,3526803.0,68990.0,3880.0,1494.0,0.0,5374.0,5.624003478765038,2.165531236411074,2021-03-15,110.0,2.0,103.0,2.7142857142857144,97.33,40,0.0
23,LENÇÓIS PAULISTA,3526803.0,68990.0,3910.0,1552.0,0.0,5462.0,5.66748804174518,2.249601391506016,2021-03-16,93.0,3.0,103.71428571428572,2.7142857142857144,99.33,41.166666666666664,0.0
24,LENÇÓIS PAULISTA,3526803.0,68990.0,3950.0,1574.0,0.0,5524.0,5.7254674590520365,2.2814900710247863,2021-03-17,86.0,1.0,101.28571428571428,2.2857142857142856,96.15,38,0.0
25,LENÇÓIS PAULISTA,3526803.0,68990.0,3978.0,1604.0,0.0,5582.0,5.766053051166836,2.324974634004928,2021-03-18,91.0,1.0,101.42857142857144,2.142857142857143,93.35,40.666666666666664,0.0
26,LENÇÓIS PAULISTA,3526803.0,68990.0,3999.0,1615.0,0.0,5614.0,5.796492245252935,2.340918973764314,2021-03-19,86.0,0.0,95.71428571428572,1.7142857142857142,93.27,39.333333333333336,0.0
27,LENÇÓIS PAULISTA,3526803.0,68990.0,4832.0,1615.0,0.0,6447.0,7.003913610668213,2.340918973764314,2021-03-20,102.0,0.0,93.42857142857144,1.2857142857142858,98.38,44.5,0.0
28,LENÇÓIS PAULISTA,3526803.0,68990.0,4832.0,0.0,0.0,4832.0,7.003913610668213,0.0,2021-03-21,80.0,2.0,92.57142857142856,1.2857142857142858,96.18,50.833333333333336,0.0
29,LENÇÓIS PAULISTA,3526803.0,68990.0,4897.0,0.0,0.0,4897.0,7.098130163791853,0.0,2021-03-22,74.0,1.0,87.42857142857143,1.1428571428571428,96.45,40.333333333333336,0.0
30,LENÇÓIS PAULISTA,3526803.0,68990.0,4914.0,1640.0,0.0,6554.0,7.122771416147268,2.3771561095810987,2021-03-23,59.0,1.0,82.57142857142857,0.8571428571428571,97.78,41.0,0.0
31,LENÇÓIS PAULISTA,3526803.0,68990.0,4944.0,1648.0,0.0,6592.0,7.16625597912741,2.3887519930424697,2021-03-24,66.0,1.0,79.71428571428571,0.8571428571428571,97.82,40.666666666666664,0.0
32,LENÇÓIS PAULISTA,3526803.0,68990.0,4948.0,1648.0,0.0,6596.0,7.172053920858096,2.3887519930424697,2021-03-25,46.0,1.0,73.28571428571429,0.8571428571428571,94.33,40.333333333333336,0.0
33,LENÇÓIS PAULISTA,3526803.0,68990.0,5027.0,1663.0,0.0,6690.0,7.286563270039135,2.410494274532541,2021-03-26,61.0,2.0,69.71428571428571,1.1428571428571428,95.72,39.666666666666664,0.0
34,LENÇÓIS PAULISTA,3526803.0,68990.0,5027.0,1663.0,0.0,6690.0,7.286563270039135,2.410494274532541,2021-03-27,50.0,0.0,62.285714285714285,1.1428571428571428,98.83,45.166666666666664,0.0
35,LENÇÓIS PAULISTA,3526803.0,68990.0,6083.0,1663.0,0.0,7746.0,8.817219886940137,2.410494274532541,2021-03-28,36.0,4.0,56.0,1.4285714285714286,98.51,49,0.0
36,LENÇÓIS PAULISTA,3526803.0,68990.0,6137.0,1666.0,0.0,7803.0,8.895492100304391,2.414842730830556,2021-03-29,56.0,2.0,53.42857142857143,1.5714285714285714,98.58,40,0.0
37,LENÇÓIS PAULISTA,3526803.0,68990.0,6178.0,1778.0,0.0,7956.0,8.95492100304392,2.577185099289752,2021-03-30,44.0,0.0,51.285714285714285,1.4285714285714286,97.96,41,0.0
38,LENÇÓIS PAULISTA,3526803.0,68990.0,6204.0,1856.0,0.0,8060.0,8.992607624293376,2.6902449630381216,2021-03-31,49.0,1.0,48.85714285714285,1.4285714285714286,97.41,39,0.0
39,LENÇÓIS PAULISTA,3526803.0,68990.0,6238.0,1893.0,0.0,8131.0,9.041890129004203,2.7438759240469635,2021-04-01,51.0,1.0,49.57142857142857,1.4285714285714286,96.86,38.833333333333336,0.0
40,LENÇÓIS PAULISTA,3526803.0,68990.0,6245.0,1894.0,0.0,8139.0,9.052036527032904,2.745325409479635,2021-04-02,35.0,1.0,45.85714285714285,1.2857142857142858,96.51,44,0.0
41,LENÇÓIS PAULISTA,3526803.0,68990.0,6642.0,2096.0,0.0,8738.0,9.627482243803447,3.0381214668792578,2021-04-03,40.0,0.0,44.42857142857143,1.2857142857142858,94.78,44,0.0
42,LENÇÓIS PAULISTA,3526803.0,68990.0,6642.0,2096.0,0.0,8738.0,9.627482243803447,3.0381214668792578,2021-04-04,34.0,2.0,44.142857142857146,1.0,97.14,50.0,0.0
43,LENÇÓIS PAULISTA,3526803.0,68990.0,6677.0,2096.0,0.0,8773.0,9.678214233946948,3.0381214668792578,2021-04-05,24.0,0.0,39.57142857142857,0.7142857142857143,92.86,40,0.0
44,LENÇÓIS PAULISTA,3526803.0,68990.0,6724.0,2128.0,0.0,8852.0,9.746340049282503,3.0845050007247425,2021-04-06,30.0,0.0,37.57142857142857,0.7142857142857143,96.90,39,0.0
45,LENÇÓIS PAULISTA,3526803.0,68990.0,6746.0,2164.0,0.0,8910.0,9.778228728801276,3.136686476300913,2021-04-07,30.0,0.0,34.857142857142854,0.5714285714285714,92.48,39,0.0
46,LENÇÓIS PAULISTA,3526803.0,68990.0,6763.0,2177.0,0.0,8940.0,9.80286998115669,3.155529786925641,2021-04-08,34.0,0.0,32.42857142857143,0.4285714285714285,92.59,39.666666666666664,0.0
47,LENÇÓIS PAULISTA,3526803.0,68990.0,6782.0,2220.0,0.0,9002.0,9.830410204377444,3.217857660530512,2021-04-09,39.0,2.0,33.0,0.5714285714285714,95.34,39,0.0
48,LENÇÓIS PAULISTA,3526803.0,68990.0,6783.0,2571.0,0.0,9354.0,9.831859689810116,3.726627047398174,2021-04-10,24.0,0.0,30.714285714285715,0.5714285714285714,93.60,42,0.0
49,LENÇÓIS PAULISTA,3526803.0,68990.0,6783.0,2571.0,0.0,9354.0,9.831859689810116,3.726627047398174,2021-04-11,31.0,0.0,30.285714285714285,0.2857142857142857,94.44,47.5,0.0
50,LENÇÓIS PAULISTA,3526803.0,68990.0,7078.0,2601.0,0.0,9679.0,10.25945789244818,3.770111610378315,2021-04-12,40.0,1.0,32.57142857142857,0.4285714285714285,86.61,39,0.0
51,LENÇÓIS PAULISTA,3526803.0,68990.0,7477.0,2638.0,0.0,10115.0,10.83780258008407,3.823742571387158,2021-04-13,30.0,4.0,32.57142857142857,1.0,93.29,40,0.0
52,LENÇÓIS PAULISTA,3526803.0,68990.0,7525.0,2665.0,0.0,10190.0,10.907377880852298,3.862878678069285,2021-04-14,33.0,0.0,33.0,1.0,90.29,40.0,0.0
53,LENÇÓIS PAULISTA,3526803.0,68990.0,7607.0,2741.0,0.0,10348.0,11.026235686331352,3.973039570952312,2021-04-15,54.0,1.0,35.857142857142854,1.1428571428571428,89.69,39,0.0
54,LENÇÓIS PAULISTA,3526803.0,68990.0,7626.0,2748.0,0.0,10374.0,11.053775909552108,3.983185968981012,2021-04-16,47.0,1.0,37.0,1.0,85.90,39,0.0
55,LENÇÓIS PAULISTA,3526803.0,68990.0,7636.0,3507.0,0.0,11143.0,11.068270763878823,5.0833454123786055,2021-04-17,33.0,0.0,38.285714285714285,1.0,87.91,42,0.0
56,LENÇÓIS PAULISTA,3526803.0,68990.0,7636.0,3558.0,0.0,11194.0,11.068270763878823,5.157269169444847,2021-04-18,38.0,0.0,39.285714285714285,1.0,91.22,48.666666666666664,0.0
57,LENÇÓIS PAULISTA,3526803.0,68990.0,7670.0,3583.0,0.0,11253.0,11.11755326858965,5.193506305261632,2021-04-19,46.0,0.0,40.142857142857146,0.8571428571428571,90.00,40,0.0
58,LENÇÓIS PAULISTA,3526803.0,68990.0,7702.0,3662.0,0.0,11364.0,11.163936802435137,5.308015654442673,2021-04-20,46.0,1.0,42.42857142857143,0.4285714285714285,87.78,39,0.0
59,LENÇÓIS PAULISTA,3526803.0,68990.0,8613.0,3662.0,0.0,12275.0,12.484418031598782,5.308015654442673,2021-04-21,42.0,0.0,43.71428571428572,0.4285714285714285,87.99,46.0,0.0
60,LENÇÓIS PAULISTA,3526803.0,68990.0,8674.0,3686.0,0.0,12360.0,12.57283664299174,5.342803304826786,2021-04-22,40.0,0.0,41.71428571428572,0.2857142857142857,83.33,39,0.0
61,LENÇÓIS PAULISTA,3526803.0,68990.0,8693.0,3713.0,0.0,12406.0,12.600376866212496,5.381939411508915,2021-04-23,43.0,1.0,41.142857142857146,0.2857142857142857,90.23,39,0.0
62,LENÇÓIS PAULISTA,3526803.0,68990.0,9174.0,4105.0,0.0,13279.0,13.297579359327438,5.950137701116104,2021-04-24,25.0,0.0,40.0,0.2857142857142857,88.55,41.833333333333336,0.0
63,LENÇÓIS PAULISTA,3526803.0,68990.0,9175.0,4814.0,0.0,13989.0,13.29902884476011,6.977822872880128,2021-04-25,25.0,1.0,38.142857142857146,0.4285714285714285,91.64,49,0.0
64,LENÇÓIS PAULISTA,3526803.0,68990.0,9233.0,4825.0,0.0,14058.0,13.38309899985505,6.993767212639512,2021-04-26,29.0,0.0,35.714285714285715,0.4285714285714285,90.86,40.0,0.0
65,LENÇÓIS PAULISTA,3526803.0,68990.0,9272.0,4886.0,0.0,14158.0,13.439628931729237,7.082185824032468,2021-04-27,18.0,0.0,31.714285714285715,0.2857142857142857,87.81,38,0.0
66,LENÇÓIS PAULISTA,3526803.0,68990.0,9272.0,4886.0,0.0,14158.0,13.439628931729237,7.082185824032468,2021-04-28,38.0,0.0,31.142857142857142,0.2857142857142857,91.36,39,0.0
67,LENÇÓIS PAULISTA,3526803.0,68990.0,9828.0,5228.0,0.0,15056.0,14.245542832294536,7.577909842006088,2021-04-29,30.0,1.0,29.714285714285715,0.4285714285714285,91.06,39,0.0
68,LENÇÓIS PAULISTA,3526803.0,68990.0,9894.0,5404.0,0.0,15298.0,14.341208870850847,7.833019278156255,2021-04-30,31.0,0.0,28.0,0.2857142857142857,92.29,40.333333333333336,0.0
69,LENÇÓIS PAULISTA,3526803.0,68990.0,10403.0,5801.0,0.0,16204.0,15.078996956080593,8.4084649949268,2021-05-01,26.0,0.0,28.142857142857142,0.2857142857142857,85.96,42,0.0
70,LENÇÓIS PAULISTA,3526803.0,68990.0,10403.0,5801.0,0.0,16204.0,15.078996956080593,8.4084649949268,2021-05-02,29.0,0.0,28.714285714285715,0.1428571428571428,88.64,47.166666666666664,0.0
71,LENÇÓIS PAULISTA,3526803.0,68990.0,10464.0,5801.0,0.0,16265.0,15.167415567473547,8.4084649949268,2021-05-03,29.0,0.0,28.714285714285715,0.1428571428571428,89.36,39,0.0
72,LENÇÓIS PAULISTA,3526803.0,68990.0,10505.0,5866.0,0.0,16371.0,15.226844470213074,8.502681548050441,2021-05-04,16.0,1.0,28.428571428571427,0.2857142857142857,90.78,39.166666666666664,0.0
73,LENÇÓIS PAULISTA,3526803.0,68990.0,10566.0,5908.0,0.0,16474.0,15.315263081606028,8.56355993622264,2021-05-05,38.0,0.0,28.428571428571427,0.2857142857142857,89.42,38.833333333333336,0.0
74,LENÇÓIS PAULISTA,3526803.0,68990.0,10614.0,5943.0,0.0,16557.0,15.38483838237426,8.614291926366139,2021-05-06,25.0,0.0,27.714285714285715,0.1428571428571428,89.66,37.833333333333336,0.0
75,LENÇÓIS PAULISTA,3526803.0,68990.0,10723.0,5984.0,0.0,16707.0,15.542832294535438,8.673720829105667,2021-05-07,26.0,0.0,27.0,0.1428571428571428,90.30,38.333333333333336,0.0
76,LENÇÓIS PAULISTA,3526803.0,68990.0,10752.0,5987.0,0.0,16739.0,15.584867372082911,8.678069285403682,2021-05-08,28.0,1.0,27.285714285714285,0.2857142857142857,88.96,40.333333333333336,0.0
77,LENÇÓIS PAULISTA,3526803.0,68990.0,10752.0,5987.0,0.0,16739.0,15.584867372082911,8.678069285403682,2021-05-09,32.0,0.0,27.714285714285715,0.2857142857142857,92.51,45.166666666666664,0.0
78,LENÇÓIS PAULISTA,3526803.0,68990.0,11990.0,6460.0,0.0,18450.0,17.379330337730106,9.363675895057256,2021-05-10,45.0,0.0,30.0,0.2857142857142857,93.35,38.666666666666664,0.0
79,LENÇÓIS PAULISTA,3526803.0,68990.0,12114.0,6629.0,0.0,18743.0,17.559066531381358,9.60863893317872,2021-05-11,38.0,1.0,33.142857142857146,0.2857142857142857,93.90,38.833333333333336,0.0
80,LENÇÓIS PAULISTA,3526803.0,68990.0,12229.0,6670.0,0.0,18899.0,17.725757356138573,9.668067835918247,2021-05-12,28.0,1.0,31.714285714285715,0.4285714285714285,92.57,38,0.0
81,LENÇÓIS PAULISTA,3526803.0,68990.0,12411.0,6720.0,0.0,19131.0,17.989563704884766,9.74054210755182,2021-05-13,31.0,1.0,32.57142857142857,0.5714285714285714,91.24,38,0.0
