,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,Total 1ª Dose,Total 2ª Dose,Total Doses Aplicadas,Doses distribuidas,% Vacinas Aplicadas,Código IBGE
0,0,0,ADAMANTINA,ADAMANTINA,8240,4778,13018,13078,100.46090029190351,3500105
1,1,1,ADOLFO,ADOLFO,890,538,1428,1256,87.95518207282913,3500204
2,2,2,AGUAÍ,AGUAI,4860,2950,7810,7868,100.7426376440461,3500303
3,7,3,AGUDOS,AGUDOS,6920,3953,10873,12075,111.05490664949876,3500709
4,8,4,ALAMBARI,ALAMBARI,900,419,1319,1339,101.51630022744504,3500758
5,9,5,ALFREDO MARCONDES,ALFREDO MARCONDES,1162,650,1812,1748,96.46799116997794,3500808
6,10,6,ALTAIR,ALTAIR,587,391,978,982,100.40899795501022,3500907
7,11,7,ALTINÓPOLIS,ALTINOPOLIS,3201,2044,5245,5173,98.6272640610105,3501004
8,12,8,ALTO ALEGRE,ALTO ALEGRE,1002,616,1618,1619,100.06180469715694,3501103
9,13,9,ALUMÍNIO,ALUMINIO,2134,1169,3303,3409,103.2092037541629,3501152
10,17,10,ALVINLÂNDIA,ALVINLANDIA,575,305,880,826,93.86363636363636,3501509
11,18,11,AMERICANA,AMERICANA,40358,22589,62947,65545,104.12728168141452,3501608
12,21,12,AMPARO,AMPARO,13079,8012,21091,21682,102.8021430942108,3501905
13,19,13,AMÉRICO BRASILIENSE,AMERICO BRASILIENSE,5252,3205,8457,8725,103.16897244885892,3501707
14,20,14,AMÉRICO DE CAMPOS,AMERICO DE CAMPOS,1273,689,1962,1985,101.1722731906218,3501806
15,22,15,ANALÂNDIA,ANALANDIA,811,496,1307,1335,102.1423106350421,3502002
16,23,16,ANDRADINA,ANDRADINA,11315,6884,18199,18805,103.32985328864224,3502101
17,24,17,ANGATUBA,ANGATUBA,3899,1926,5825,5903,101.3390557939914,3502200
18,25,18,ANHEMBI,ANHEMBI,1000,458,1458,1462,100.27434842249656,3502309
19,26,19,ANHUMAS,ANHUMAS,776,470,1246,1143,91.73354735152486,3502408
20,27,20,APARECIDA,APARECIDA,5794,3272,9066,9331,102.9230090447827,3502507
21,28,21,APARECIDA D'OESTE,APARECIDA D'OESTE,1137,711,1848,1698,91.88311688311688,3502606
22,29,22,APIAÍ,APIAI,3776,2192,5968,5759,96.4979892761394,3502705
23,33,23,ARAMINA,ARAMINA,981,556,1537,1502,97.72283669486012,3503000
24,34,24,ARANDU,ARANDU,1092,586,1678,1595,95.05363528009536,3503109
25,35,25,ARAPEÍ,ARAPEI,478,299,777,711,91.50579150579148,3503158
26,36,26,ARARAQUARA,ARARAQUARA,46511,27576,74087,74281,100.26185430642354,3503208
27,37,27,ARARAS,ARARAS,23665,13692,37357,36253,97.04473057258345,3503307
28,30,28,ARAÇARIGUAMA,ARACARIGUAMA,1988,1355,3343,3430,102.60245288662875,3502754
29,31,29,ARAÇATUBA,ARACATUBA,38559,23762,62321,63806,102.38282440910768,3502804
30,32,30,ARAÇOIABA DA SERRA,ARACOIABA DA SERRA,4536,2629,7165,7901,110.2721563154222,3502903
