,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,3945,1554,0,5499,6635,82.87867370007535,11.235795049984336,4.425963373301815
1,ADOLFO,3500204,3554,336,159,0,495,583,84.90566037735849,9.454136184580754,4.473832301631964
2,AGUAÍ,3500303,36648,2161,632,0,2793,3518,79.39169982944854,5.896638288583278,1.7245142981881685
3,ÁGUAS DA PRATA,3500402,8221,801,261,0,1062,1424,74.57865168539325,9.743340226249849,3.1747962534971412
4,ÁGUAS DE LINDÓIA,3500501,18808,1261,401,0,1662,2569,64.69443363176333,6.704593789876648,2.1320714589536367
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,506,175,0,681,813,83.76383763837639,8.282861352103454,2.8646259616958587
6,ÁGUAS DE SÃO PEDRO,3500600,3521,560,197,0,757,926,81.74946004319654,15.904572564612327,5.595001420051122
7,AGUDOS,3500709,37401,3276,1194,0,4470,6730,66.4190193164933,8.75912408759124,3.1924280099462585
8,ALAMBARI,3500758,6129,340,112,0,452,584,77.3972602739726,5.547397617882199,1.8273780388317833
9,ALFREDO MARCONDES,3500808,4184,559,205,0,764,886,86.23024830699775,13.360420650095604,4.89961759082218
10,ALTAIR,3500907,4186,298,125,0,423,422,100.23696682464455,7.118967988533206,2.9861442904921165
11,ALTINÓPOLIS,3501004,16203,1163,434,0,1597,2498,63.93114491593275,7.177683145096587,2.6785163241375054
12,ALTO ALEGRE,3501103,4088,420,97,0,517,800,64.625,10.273972602739725,2.37279843444227
13,ALUMÍNIO,3501152,18767,755,268,0,1023,1424,71.83988764044943,4.023019129322748,1.4280385783556242
14,ÁLVARES FLORENCE,3501202,3647,421,111,0,532,684,77.77777777777779,11.543734576364136,3.0435974773786674
15,ÁLVARES MACHADO,3501301,24998,1848,559,0,2407,3121,77.12271707785966,7.392591407312585,2.236178894311545
