,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
0,ADAMANTINA,3500105,35111,3305,1329,0,4634,5145,90.06802721088435,9.413004471533137,3.785138560565065
1,ADOLFO,3500204,3554,262,132,0,394,443,88.93905191873588,7.371975239167136,3.714124929656725
2,AGUAÍ,3500303,36648,1473,413,0,1886,2598,72.59430331023864,4.01931892599869,1.1269373499235975
3,ÁGUAS DA PRATA,3500402,8221,539,197,0,736,964,76.34854771784232,6.556380002432793,2.396302153022747
4,ÁGUAS DE LINDÓIA,3500501,18808,684,239,0,923,1869,49.38469769930444,3.636750319013186,1.2707358570820928
5,ÁGUAS DE SANTA BÁRBARA,3500550,6109,404,115,0,519,602,86.21262458471762,6.61319364871501,1.8824684891144212
6,ÁGUAS DE SÃO PEDRO,3500600,3521,427,109,0,536,706,75.92067988668555,12.127236580516898,3.095711445612042
7,AGUDOS,3500709,37401,2896,1064,0,3960,5700,69.47368421052632,7.74310847303548,2.8448437207561295
8,ALAMBARI,3500758,6129,250,67,0,317,434,73.04147465437788,4.078968836678088,1.0931636482297276
9,ALFREDO MARCONDES,3500808,4184,354,137,0,491,656,74.84756097560977,8.460803059273422,3.2743785850860423
10,ALTAIR,3500907,4186,269,101,0,370,340,108.8235294117647,6.426182513139035,2.41280458671763
11,ALTINÓPOLIS,3501004,16203,933,368,0,1301,1898,68.54583772391992,5.758192927235697,2.271184348577424
12,ALTO ALEGRE,3501103,4088,325,67,0,392,590,66.44067796610169,7.950097847358122,1.6389432485322895
13,ALUMÍNIO,3501152,18767,599,187,0,786,994,79.07444668008048,3.191772792667981,0.996429903554111
14,ÁLVARES FLORENCE,3501202,3647,332,95,0,427,504,84.72222222222221,9.1033726350425,2.6048807238826432
15,ÁLVARES MACHADO,3501301,24998,1381,310,0,1691,2221,76.13687528140477,5.524441955356429,1.240099207936635
16,ÁLVARO DE CARVALHO,3501400,5274,178,55,0,233,340,68.52941176470588,3.3750474023511563,1.042851725445582
17,ALVINLÂNDIA,3501509,3237,161,82,0,243,272,89.33823529411765,4.973741118319432,2.533209762125425
18,AMERICANA,3501608,242018,12119,3708,0,15827,23400,67.63675213675214,5.007478782569891,1.532117445809816
19,AMÉRICO BRASILIENSE,3501707,41032,2098,748,0,2846,3445,82.61248185776488,5.1130824722168065,1.8229674400467928
20,AMÉRICO DE CAMPOS,3501806,5981,380,125,0,505,664,76.05421686746988,6.353452599899683,2.0899515131248956
21,AMPARO,3501905,72677,4276,1404,0,5680,7946,71.48250692172162,5.883567015699603,1.9318353812072597
22,ANALÂNDIA,3502002,5056,267,96,0,363,368,98.6413043478261,5.280854430379747,1.89873417721519
23,ANDRADINA,3502101,57202,3654,460,0,4114,7285,56.472203157172274,6.387888535365896,0.80416768644453
24,ANGATUBA,3502200,25479,998,194,0,1192,1877,63.50559403303143,3.9169512147258527,0.7614113583735626
25,ANHEMBI,3502309,6819,242,46,0,288,500,57.599999999999994,3.5489074644376006,0.674585716380701
26,ANHUMAS,3502408,4144,287,99,0,386,416,92.78846153846155,6.925675675675675,2.388996138996139
27,APARECIDA,3502507,36185,1651,548,0,2199,3248,67.70320197044335,4.562664087329004,1.5144396849523283
28,APARECIDA D'OESTE,3502606,4158,347,172,0,519,646,80.34055727554178,8.345358345358346,4.136604136604136
29,APIAÍ,3502705,24226,980,328,0,1308,1634,80.04895960832313,4.045240650540741,1.353917278956493
