,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
22667,GUARATINGUETÁ,3518404,122505,SP,"domingo, 01/03",35%
22425,GUARATINGUETÁ,3518404,122505,SP,"domingo, 01/11",42%
22243,GUARATINGUETÁ,3518404,122505,SP,"domingo, 02/05",44%
22516,GUARATINGUETÁ,3518404,122505,SP,"domingo, 02/08",48%
22362,GUARATINGUETÁ,3518404,122505,SP,"domingo, 03/01",43%
22607,GUARATINGUETÁ,3518404,122505,SP,"domingo, 03/05",62%
22271,GUARATINGUETÁ,3518404,122505,SP,"domingo, 04/04",45%
22180,GUARATINGUETÁ,3518404,122505,SP,"domingo, 04/07",43%
22453,GUARATINGUETÁ,3518404,122505,SP,"domingo, 04/10",42%
22635,GUARATINGUETÁ,3518404,122505,SP,"domingo, 05/04",61%
22544,GUARATINGUETÁ,3518404,122505,SP,"domingo, 05/07",48%
22208,GUARATINGUETÁ,3518404,122505,SP,"domingo, 06/06",42%
22481,GUARATINGUETÁ,3518404,122505,SP,"domingo, 06/09",43%
22390,GUARATINGUETÁ,3518404,122505,SP,"domingo, 06/12",39%
22327,GUARATINGUETÁ,3518404,122505,SP,"domingo, 07/02",44%
22299,GUARATINGUETÁ,3518404,122505,SP,"domingo, 07/03",44%
22572,GUARATINGUETÁ,3518404,122505,SP,"domingo, 07/06",48%
22660,GUARATINGUETÁ,3518404,122505,SP,"domingo, 08/03",33%
22418,GUARATINGUETÁ,3518404,122505,SP,"domingo, 08/11",39%
22236,GUARATINGUETÁ,3518404,122505,SP,"domingo, 09/05",42%
22509,GUARATINGUETÁ,3518404,122505,SP,"domingo, 09/08",45%
22355,GUARATINGUETÁ,3518404,122505,SP,"domingo, 10/01",42%
22600,GUARATINGUETÁ,3518404,122505,SP,"domingo, 10/05",57%
22264,GUARATINGUETÁ,3518404,122505,SP,"domingo, 11/04",45%
22173,GUARATINGUETÁ,3518404,122505,SP,"domingo, 11/07",41%
22446,GUARATINGUETÁ,3518404,122505,SP,"domingo, 11/10",42%
22628,GUARATINGUETÁ,3518404,122505,SP,"domingo, 12/04",64%
22537,GUARATINGUETÁ,3518404,122505,SP,"domingo, 12/07",48%
22201,GUARATINGUETÁ,3518404,122505,SP,"domingo, 13/06",42%
22474,GUARATINGUETÁ,3518404,122505,SP,"domingo, 13/09",44%
22383,GUARATINGUETÁ,3518404,122505,SP,"domingo, 13/12",38%
22320,GUARATINGUETÁ,3518404,122505,SP,"domingo, 14/02",44%
22292,GUARATINGUETÁ,3518404,122505,SP,"domingo, 14/03",43%
22565,GUARATINGUETÁ,3518404,122505,SP,"domingo, 14/06",49%
22411,GUARATINGUETÁ,3518404,122505,SP,"domingo, 15/11",39%
22229,GUARATINGUETÁ,3518404,122505,SP,"domingo, 16/05",44%
22502,GUARATINGUETÁ,3518404,122505,SP,"domingo, 16/08",48%
22348,GUARATINGUETÁ,3518404,122505,SP,"domingo, 17/01",42%
22593,GUARATINGUETÁ,3518404,122505,SP,"domingo, 17/05",50%
22257,GUARATINGUETÁ,3518404,122505,SP,"domingo, 18/04",44%
22166,GUARATINGUETÁ,3518404,122505,SP,"domingo, 18/07",42%
22439,GUARATINGUETÁ,3518404,122505,SP,"domingo, 18/10",42%
22621,GUARATINGUETÁ,3518404,122505,SP,"domingo, 19/04",64%
22530,GUARATINGUETÁ,3518404,122505,SP,"domingo, 19/07",48%
22194,GUARATINGUETÁ,3518404,122505,SP,"domingo, 20/06",42%
22467,GUARATINGUETÁ,3518404,122505,SP,"domingo, 20/09",45%
22376,GUARATINGUETÁ,3518404,122505,SP,"domingo, 20/12",39%
22313,GUARATINGUETÁ,3518404,122505,SP,"domingo, 21/02",42%
22285,GUARATINGUETÁ,3518404,122505,SP,"domingo, 21/03",45%
22558,GUARATINGUETÁ,3518404,122505,SP,"domingo, 21/06",48%
22649,GUARATINGUETÁ,3518404,122505,SP,"domingo, 22/03",58%
22404,GUARATINGUETÁ,3518404,122505,SP,"domingo, 22/11",39%
22222,GUARATINGUETÁ,3518404,122505,SP,"domingo, 23/05",44%
22495,GUARATINGUETÁ,3518404,122505,SP,"domingo, 23/08",46%
22341,GUARATINGUETÁ,3518404,122505,SP,"domingo, 24/01",41%
22586,GUARATINGUETÁ,3518404,122505,SP,"domingo, 24/05",50%
22250,GUARATINGUETÁ,3518404,122505,SP,"domingo, 25/04",45%
22432,GUARATINGUETÁ,3518404,122505,SP,"domingo, 25/10",41%
22614,GUARATINGUETÁ,3518404,122505,SP,"domingo, 26/04",63%
22523,GUARATINGUETÁ,3518404,122505,SP,"domingo, 26/07",48%
22187,GUARATINGUETÁ,3518404,122505,SP,"domingo, 27/06",41%
22460,GUARATINGUETÁ,3518404,122505,SP,"domingo, 27/09",42%
22369,GUARATINGUETÁ,3518404,122505,SP,"domingo, 27/12",43%
22306,GUARATINGUETÁ,3518404,122505,SP,"domingo, 28/02",44%
22278,GUARATINGUETÁ,3518404,122505,SP,"domingo, 28/03",46%
22551,GUARATINGUETÁ,3518404,122505,SP,"domingo, 28/06",48%
22642,GUARATINGUETÁ,3518404,122505,SP,"domingo, 29/03",60%
22397,GUARATINGUETÁ,3518404,122505,SP,"domingo, 29/11",39%
22215,GUARATINGUETÁ,3518404,122505,SP,"domingo, 30/05",43%
22488,GUARATINGUETÁ,3518404,122505,SP,"domingo, 30/08",44%
22334,GUARATINGUETÁ,3518404,122505,SP,"domingo, 31/01",43%
22579,GUARATINGUETÁ,3518404,122505,SP,"domingo, 31/05",51%
22639,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 01/04",58%
22548,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 01/07",43%
22212,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 02/06",38%
22485,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 02/09",39%
22394,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 02/12",35%
22331,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 03/02",39%
22303,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 03/03",38%
22576,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 03/06",44%
22664,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 04/03",34%
22422,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 04/11",37%
22240,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 05/05",38%
22513,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 05/08",41%
22359,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 06/01",33%
22604,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 06/05",50%
22268,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 07/04",38%
22177,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 07/07",37%
22450,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 07/10",37%
22632,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 08/04",54%
22541,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 08/07",43%
22205,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 09/06",38%
22478,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 09/09",40%
22387,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 09/12",34%
22324,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 10/02",37%
22296,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 10/03",37%
22569,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 10/06",43%
22657,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 11/03",33%
22415,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 11/11",36%
22233,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 12/05",38%
22506,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 12/08",40%
22352,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 13/01",37%
22597,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 13/05",51%
22261,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 14/04",39%
22170,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 14/07",37%
22443,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 14/10",37%
22625,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 15/04",53%
22534,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 15/07",43%
22198,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 16/06",38%
22471,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 16/09",38%
22380,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 16/12",35%
22317,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 17/02",37%
22289,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 17/03",37%
22562,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 17/06",44%
22653,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 18/03",45%
22408,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 18/11",36%
22226,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 19/05",38%
22499,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 19/08",38%
22345,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 20/01",38%
22590,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 20/05",45%
22254,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 21/04",44%
22436,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 21/10",37%
22618,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 22/04",53%
22527,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 22/07",40%
22191,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 23/06",38%
22464,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 23/09",38%
22373,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 23/12",36%
22310,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 24/02",34%
22282,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 24/03",40%
22555,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 24/06",44%
22646,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 25/03",58%
22401,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 25/11",36%
22671,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 26/02",32%
22219,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 26/05",37%
22492,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 26/08",39%
22338,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 27/01",38%
22583,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 27/05",45%
22247,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 28/04",38%
22429,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 28/10",37%
22611,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 29/04",52%
22520,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 29/07",41%
22184,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 30/06",38%
22457,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 30/09",38%
22366,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 30/12",37%
22275,GUARATINGUETÁ,3518404,122505,SP,"quarta-feira, 31/03",39%
22274,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 01/04",38%
22183,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 01/07",38%
22456,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 01/10",38%
22638,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 02/04",58%
22547,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 02/07",44%
22211,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 03/06",43%
22484,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 03/09",37%
22393,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 03/12",35%
22330,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 04/02",39%
22302,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 04/03",36%
22575,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 04/06",44%
22663,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 05/03",33%
