,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 05 Barretos,"segunda-feira, 19/07",37%,BARRETOS,3505500
1,DRS 05 Barretos,"segunda-feira, 19/07",50%,BEBEDOURO,3506102
2,DRS 05 Barretos,"segunda-feira, 19/07",44%,OLÍMPIA,3533908
3,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,ALTAIR,3500907
4,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,BARRETOS,3505500
5,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,BEBEDOURO,3506102
6,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,CAJOBI,3509304
7,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,COLINA,3512001
8,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,COLÔMBIA,3512100
9,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,GUAÍRA,3517406
10,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,GUARACI,3517901
11,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,JABORANDI,3524204
12,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,MONTE AZUL PAULISTA,3531506
13,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,OLÍMPIA,3533908
14,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,SEVERÍNIA,3551900
15,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,TAIAÇU,3553104
16,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,TAIÚVA,3553203
17,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,TAQUARAL,3553658
18,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,TERRA ROXA,3554409
19,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,VIRADOURO,3556800
20,DRS 05 Barretos,"segunda-feira, 19/07",43.666666666666664,VISTA ALEGRE DO ALTO,3556909
21,DRS 05 Barretos,"domingo, 18/07",43%,BARRETOS,3505500
22,DRS 05 Barretos,"domingo, 18/07",58%,BEBEDOURO,3506102
23,DRS 05 Barretos,"domingo, 18/07",45%,OLÍMPIA,3533908
24,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,ALTAIR,3500907
25,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,BARRETOS,3505500
26,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,BEBEDOURO,3506102
27,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,CAJOBI,3509304
28,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,COLINA,3512001
29,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,COLÔMBIA,3512100
30,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,GUAÍRA,3517406
31,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,GUARACI,3517901
32,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,JABORANDI,3524204
33,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,MONTE AZUL PAULISTA,3531506
34,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,OLÍMPIA,3533908
35,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,SEVERÍNIA,3551900
36,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,TAIAÇU,3553104
37,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,TAIÚVA,3553203
38,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,TAQUARAL,3553658
39,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,TERRA ROXA,3554409
40,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,VIRADOURO,3556800
41,DRS 05 Barretos,"domingo, 18/07",48.666666666666664,VISTA ALEGRE DO ALTO,3556909
42,DRS 05 Barretos,"sábado, 17/07",38%,BARRETOS,3505500
43,DRS 05 Barretos,"sábado, 17/07",52%,BEBEDOURO,3506102
44,DRS 05 Barretos,"sábado, 17/07",46%,OLÍMPIA,3533908
45,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,ALTAIR,3500907
46,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,BARRETOS,3505500
47,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,BEBEDOURO,3506102
48,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,CAJOBI,3509304
49,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,COLINA,3512001
50,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,COLÔMBIA,3512100
51,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,GUAÍRA,3517406
52,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,GUARACI,3517901
53,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,JABORANDI,3524204
54,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,MONTE AZUL PAULISTA,3531506
55,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,OLÍMPIA,3533908
56,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,SEVERÍNIA,3551900
57,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,TAIAÇU,3553104
58,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,TAIÚVA,3553203
59,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,TAQUARAL,3553658
60,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,TERRA ROXA,3554409
61,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,VIRADOURO,3556800
62,DRS 05 Barretos,"sábado, 17/07",45.333333333333336,VISTA ALEGRE DO ALTO,3556909
63,DRS 05 Barretos,"sexta-feira, 16/07",35%,BARRETOS,3505500
64,DRS 05 Barretos,"sexta-feira, 16/07",49%,BEBEDOURO,3506102
65,DRS 05 Barretos,"sexta-feira, 16/07",42%,OLÍMPIA,3533908
66,DRS 05 Barretos,"sexta-feira, 16/07",42.0,ALTAIR,3500907
67,DRS 05 Barretos,"sexta-feira, 16/07",42.0,BARRETOS,3505500
68,DRS 05 Barretos,"sexta-feira, 16/07",42.0,BEBEDOURO,3506102
69,DRS 05 Barretos,"sexta-feira, 16/07",42.0,CAJOBI,3509304
70,DRS 05 Barretos,"sexta-feira, 16/07",42.0,COLINA,3512001
71,DRS 05 Barretos,"sexta-feira, 16/07",42.0,COLÔMBIA,3512100
72,DRS 05 Barretos,"sexta-feira, 16/07",42.0,GUAÍRA,3517406
73,DRS 05 Barretos,"sexta-feira, 16/07",42.0,GUARACI,3517901
74,DRS 05 Barretos,"sexta-feira, 16/07",42.0,JABORANDI,3524204
75,DRS 05 Barretos,"sexta-feira, 16/07",42.0,MONTE AZUL PAULISTA,3531506
76,DRS 05 Barretos,"sexta-feira, 16/07",42.0,OLÍMPIA,3533908
77,DRS 05 Barretos,"sexta-feira, 16/07",42.0,SEVERÍNIA,3551900
78,DRS 05 Barretos,"sexta-feira, 16/07",42.0,TAIAÇU,3553104
79,DRS 05 Barretos,"sexta-feira, 16/07",42.0,TAIÚVA,3553203
80,DRS 05 Barretos,"sexta-feira, 16/07",42.0,TAQUARAL,3553658
81,DRS 05 Barretos,"sexta-feira, 16/07",42.0,TERRA ROXA,3554409
82,DRS 05 Barretos,"sexta-feira, 16/07",42.0,VIRADOURO,3556800
83,DRS 05 Barretos,"sexta-feira, 16/07",42.0,VISTA ALEGRE DO ALTO,3556909
84,DRS 05 Barretos,"quinta-feira, 15/07",40%,BARRETOS,3505500
85,DRS 05 Barretos,"quinta-feira, 15/07",53%,BEBEDOURO,3506102
86,DRS 05 Barretos,"quinta-feira, 15/07",44%,OLÍMPIA,3533908
87,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,ALTAIR,3500907
88,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,BARRETOS,3505500
89,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,BEBEDOURO,3506102
90,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,CAJOBI,3509304
91,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,COLINA,3512001
92,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,COLÔMBIA,3512100
93,DRS 05 Barretos,"quinta-feira, 15/07",45.666666666666664,GUAÍRA,3517406
