,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 08 Franca,"segunda-feira, 19/07",36%,FRANCA,3516200
1,DRS 08 Franca,"segunda-feira, 19/07",63%,SÃO JOAQUIM DA BARRA,3549409
2,DRS 08 Franca,"segunda-feira, 19/07",49.5,ARAMINA,3503000
3,DRS 08 Franca,"segunda-feira, 19/07",49.5,BURITIZAL,3508207
4,DRS 08 Franca,"segunda-feira, 19/07",49.5,CRISTAIS PAULISTA,3513207
5,DRS 08 Franca,"segunda-feira, 19/07",49.5,FRANCA,3516200
6,DRS 08 Franca,"segunda-feira, 19/07",49.5,GUARÁ,3517703
7,DRS 08 Franca,"segunda-feira, 19/07",49.5,IGARAPAVA,3520103
8,DRS 08 Franca,"segunda-feira, 19/07",49.5,IPUÃ,3521309
9,DRS 08 Franca,"segunda-feira, 19/07",49.5,ITIRAPUÃ,3523701
10,DRS 08 Franca,"segunda-feira, 19/07",49.5,ITUVERAVA,3524105
11,DRS 08 Franca,"segunda-feira, 19/07",49.5,JERIQUARA,3525409
12,DRS 08 Franca,"segunda-feira, 19/07",49.5,MIGUELÓPOLIS,3529708
13,DRS 08 Franca,"segunda-feira, 19/07",49.5,MORRO AGUDO,3531902
14,DRS 08 Franca,"segunda-feira, 19/07",49.5,NUPORANGA,3533601
15,DRS 08 Franca,"segunda-feira, 19/07",49.5,ORLÂNDIA,3534302
16,DRS 08 Franca,"segunda-feira, 19/07",49.5,PATROCÍNIO PAULISTA,3536307
17,DRS 08 Franca,"segunda-feira, 19/07",49.5,PEDREGULHO,3537008
18,DRS 08 Franca,"segunda-feira, 19/07",49.5,RESTINGA,3542701
19,DRS 08 Franca,"segunda-feira, 19/07",49.5,RIBEIRÃO CORRENTE,3543105
20,DRS 08 Franca,"segunda-feira, 19/07",49.5,RIFAINA,3543600
21,DRS 08 Franca,"segunda-feira, 19/07",49.5,SALES OLIVEIRA,3544905
22,DRS 08 Franca,"segunda-feira, 19/07",49.5,SÃO JOAQUIM DA BARRA,3549409
23,DRS 08 Franca,"segunda-feira, 19/07",49.5,SÃO JOSÉ DA BELA VISTA,3549508
24,DRS 08 Franca,"domingo, 18/07",42%,FRANCA,3516200
25,DRS 08 Franca,"domingo, 18/07",67%,SÃO JOAQUIM DA BARRA,3549409
26,DRS 08 Franca,"domingo, 18/07",54.5,ARAMINA,3503000
27,DRS 08 Franca,"domingo, 18/07",54.5,BURITIZAL,3508207
28,DRS 08 Franca,"domingo, 18/07",54.5,CRISTAIS PAULISTA,3513207
29,DRS 08 Franca,"domingo, 18/07",54.5,FRANCA,3516200
30,DRS 08 Franca,"domingo, 18/07",54.5,GUARÁ,3517703
31,DRS 08 Franca,"domingo, 18/07",54.5,IGARAPAVA,3520103
