,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 12 Registro,"segunda-feira, 19/07",42%,REGISTRO,3542602
1,DRS 12 Registro,"segunda-feira, 19/07",42.0,BARRA DO TURVO,3505401
2,DRS 12 Registro,"segunda-feira, 19/07",42.0,CAJATI,3509254
3,DRS 12 Registro,"segunda-feira, 19/07",42.0,CANANÉIA,3509908
4,DRS 12 Registro,"segunda-feira, 19/07",42.0,ELDORADO,3514809
5,DRS 12 Registro,"segunda-feira, 19/07",42.0,IGUAPE,3520301
6,DRS 12 Registro,"segunda-feira, 19/07",42.0,ILHA COMPRIDA,3520426
7,DRS 12 Registro,"segunda-feira, 19/07",42.0,IPORANGA,3521200
8,DRS 12 Registro,"segunda-feira, 19/07",42.0,ITARIRI,3523305
9,DRS 12 Registro,"segunda-feira, 19/07",42.0,JACUPIRANGA,3524600
10,DRS 12 Registro,"segunda-feira, 19/07",42.0,JUQUIÁ,3526100
11,DRS 12 Registro,"segunda-feira, 19/07",42.0,MIRACATU,3529906
12,DRS 12 Registro,"segunda-feira, 19/07",42.0,PARIQUERA-AÇU,3536208
13,DRS 12 Registro,"segunda-feira, 19/07",42.0,PEDRO DE TOLEDO,3537206
14,DRS 12 Registro,"segunda-feira, 19/07",42.0,REGISTRO,3542602
15,DRS 12 Registro,"segunda-feira, 19/07",42.0,SETE BARRAS,3551801
16,DRS 12 Registro,"domingo, 18/07",45%,REGISTRO,3542602
17,DRS 12 Registro,"domingo, 18/07",45.0,BARRA DO TURVO,3505401
18,DRS 12 Registro,"domingo, 18/07",45.0,CAJATI,3509254
19,DRS 12 Registro,"domingo, 18/07",45.0,CANANÉIA,3509908
20,DRS 12 Registro,"domingo, 18/07",45.0,ELDORADO,3514809
21,DRS 12 Registro,"domingo, 18/07",45.0,IGUAPE,3520301
22,DRS 12 Registro,"domingo, 18/07",45.0,ILHA COMPRIDA,3520426
23,DRS 12 Registro,"domingo, 18/07",45.0,IPORANGA,3521200
24,DRS 12 Registro,"domingo, 18/07",45.0,ITARIRI,3523305
25,DRS 12 Registro,"domingo, 18/07",45.0,JACUPIRANGA,3524600
26,DRS 12 Registro,"domingo, 18/07",45.0,JUQUIÁ,3526100
27,DRS 12 Registro,"domingo, 18/07",45.0,MIRACATU,3529906
