,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",54%,BATATAIS,3505906
1,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",41%,JABOTICABAL,3524303
2,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",49%,MONTE ALTO,3531308
3,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",40%,RIBEIRÃO PRETO,3543402
4,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45%,SERTÃOZINHO,3551702
5,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,ALTINÓPOLIS,3501004
6,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,BARRINHA,3505609
7,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,BATATAIS,3505906
8,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,BRODOWSKI,3507803
9,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,CAJURU,3509403
10,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,CÁSSIA DOS COQUEIROS,3510906
11,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,CRAVINHOS,3513108
12,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,DUMONT,3514601
13,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,GUARIBA,3518602
14,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,GUATAPARÁ,3518859
15,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,JABOTICABAL,3524303
16,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,JARDINÓPOLIS,3525102
17,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,LUÍS ANTÔNIO,3527603
18,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,MONTE ALTO,3531308
19,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,PITANGUEIRAS,3539509
20,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,PONTAL,3540200
21,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,PRADÓPOLIS,3540903
22,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,RIBEIRÃO PRETO,3543402
23,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,SANTA CRUZ DA ESPERANÇA,3546256
24,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,SANTA RITA DO PASSA QUATRO,3547502
25,DRS 13 Ribeirão Preto,"segunda-feira, 19/07",45.8,SANTA ROSA DE VITERBO,3547601
