,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 17 Taubaté,"segunda-feira, 19/07",44%,CAÇAPAVA,3508504
1,DRS 17 Taubaté,"segunda-feira, 19/07",37%,CAMPOS DO JORDÃO,3509700
2,DRS 17 Taubaté,"segunda-feira, 19/07",42%,CARAGUATATUBA,3510500
3,DRS 17 Taubaté,"segunda-feira, 19/07",36%,CRUZEIRO,3513405
4,DRS 17 Taubaté,"segunda-feira, 19/07",38%,GUARATINGUETÁ,3518404
5,DRS 17 Taubaté,"segunda-feira, 19/07",38%,JACAREÍ,3524402
6,DRS 17 Taubaté,"segunda-feira, 19/07",44%,LORENA,3527207
7,DRS 17 Taubaté,"segunda-feira, 19/07",40%,PINDAMONHANGABA,3538006
8,DRS 17 Taubaté,"segunda-feira, 19/07",42%,SÃO JOSÉ DOS CAMPOS,3549904
9,DRS 17 Taubaté,"segunda-feira, 19/07",53%,SÃO SEBASTIÃO,3550704
10,DRS 17 Taubaté,"segunda-feira, 19/07",39%,TAUBATÉ,3554102
11,DRS 17 Taubaté,"segunda-feira, 19/07",49%,UBATUBA,3555406
12,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,APARECIDA,3502507
13,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,ARAPEÍ,3503158
14,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,AREIAS,3503505
15,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,BANANAL,3504909
16,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CAÇAPAVA,3508504
17,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CACHOEIRA PAULISTA,3508603
18,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CAMPOS DO JORDÃO,3509700
19,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CANAS,3509957
20,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CARAGUATATUBA,3510500
21,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CRUZEIRO,3513405
22,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,CUNHA,3513603
23,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,GUARATINGUETÁ,3518404
24,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,IGARATÁ,3520202
25,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,JACAREÍ,3524402
26,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,JAMBEIRO,3524907
27,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,LAGOINHA,3526308
28,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,LAVRINHAS,3526605
29,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,LORENA,3527207
30,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,MONTEIRO LOBATO,3531704
31,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,NATIVIDADE DA SERRA,3532306
32,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,PARAIBUNA,3535606
33,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,PINDAMONHANGABA,3538006
34,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,PIQUETE,3538501
35,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,POTIM,3540754
36,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,QUELUZ,3541901
37,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,REDENÇÃO DA SERRA,3542305
38,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,ROSEIRA,3544301
39,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SANTA BRANCA,3546009
40,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SANTO ANTÔNIO DO PINHAL,3548203
41,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SÃO BENTO DO SAPUCAÍ,3548609
42,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SÃO JOSÉ DO BARREIRO,3549607
43,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SÃO JOSÉ DOS CAMPOS,3549904
44,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SÃO LUIZ DO PARAITINGA,3550001
45,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SÃO SEBASTIÃO,3550704
46,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,SILVEIRAS,3552007
47,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,TAUBATÉ,3554102
48,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,TREMEMBÉ,3554805
49,DRS 17 Taubaté,"segunda-feira, 19/07",41.833333333333336,UBATUBA,3555406
50,DRS 17 Taubaté,"domingo, 18/07",49%,CAÇAPAVA,3508504
51,DRS 17 Taubaté,"domingo, 18/07",38%,CAMPOS DO JORDÃO,3509700
52,DRS 17 Taubaté,"domingo, 18/07",46%,CARAGUATATUBA,3510500
53,DRS 17 Taubaté,"domingo, 18/07",40%,CRUZEIRO,3513405
54,DRS 17 Taubaté,"domingo, 18/07",42%,GUARATINGUETÁ,3518404
55,DRS 17 Taubaté,"domingo, 18/07",46%,JACAREÍ,3524402
56,DRS 17 Taubaté,"domingo, 18/07",49%,LORENA,3527207
57,DRS 17 Taubaté,"domingo, 18/07",47%,PINDAMONHANGABA,3538006
58,DRS 17 Taubaté,"domingo, 18/07",49%,SÃO JOSÉ DOS CAMPOS,3549904
59,DRS 17 Taubaté,"domingo, 18/07",57%,SÃO SEBASTIÃO,3550704
60,DRS 17 Taubaté,"domingo, 18/07",44%,TAUBATÉ,3554102
61,DRS 17 Taubaté,"domingo, 18/07",53%,UBATUBA,3555406
62,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,APARECIDA,3502507
63,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,ARAPEÍ,3503158
64,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,AREIAS,3503505
65,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,BANANAL,3504909
66,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CAÇAPAVA,3508504
67,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CACHOEIRA PAULISTA,3508603
68,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CAMPOS DO JORDÃO,3509700
69,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CANAS,3509957
70,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CARAGUATATUBA,3510500
71,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CRUZEIRO,3513405
72,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,CUNHA,3513603
73,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,GUARATINGUETÁ,3518404
74,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,IGARATÁ,3520202
75,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,JACAREÍ,3524402
76,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,JAMBEIRO,3524907
77,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,LAGOINHA,3526308
78,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,LAVRINHAS,3526605
79,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,LORENA,3527207
80,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,MONTEIRO LOBATO,3531704
81,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,NATIVIDADE DA SERRA,3532306
82,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,PARAIBUNA,3535606
83,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,PINDAMONHANGABA,3538006
84,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,PIQUETE,3538501
85,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,POTIM,3540754
86,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,QUELUZ,3541901
87,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,REDENÇÃO DA SERRA,3542305
88,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,ROSEIRA,3544301
89,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,SANTA BRANCA,3546009
90,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,SANTO ANTÔNIO DO PINHAL,3548203
91,DRS 17 Taubaté,"domingo, 18/07",46.666666666666664,SÃO BENTO DO SAPUCAÍ,3548609
