,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
31660,31660,DRS 07 Campinas,"domingo, 01/03",37.90909090909091,VALINHOS,3556206
31620,31620,DRS 07 Campinas,"domingo, 01/03",39%,VALINHOS,3556206
16439,16439,DRS 07 Campinas,"domingo, 01/11",44.86363636363637,VALINHOS,3556206
16399,16399,DRS 07 Campinas,"domingo, 01/11",43%,VALINHOS,3556206
4933,4933,DRS 07 Campinas,"domingo, 02/05",46%,VALINHOS,3556206
4973,4973,DRS 07 Campinas,"domingo, 02/05",46.36363636363637,VALINHOS,3556206
22167,22167,DRS 07 Campinas,"domingo, 02/08",48.22727272727273,VALINHOS,3556206
22127,22127,DRS 07 Campinas,"domingo, 02/08",51%,VALINHOS,3556206
12430,12430,DRS 07 Campinas,"domingo, 03/01",51%,VALINHOS,3556206
12470,12470,DRS 07 Campinas,"domingo, 03/01",48.40909090909091,VALINHOS,3556206
27860,27860,DRS 07 Campinas,"domingo, 03/05",59%,VALINHOS,3556206
27900,27900,DRS 07 Campinas,"domingo, 03/05",57.31818181818182,VALINHOS,3556206
6737,6737,DRS 07 Campinas,"domingo, 04/04",49.45454545454545,VALINHOS,3556206
6697,6697,DRS 07 Campinas,"domingo, 04/04",47%,VALINHOS,3556206
1004,1004,DRS 07 Campinas,"domingo, 04/07",45.59090909090909,VALINHOS,3556206
964,964,DRS 07 Campinas,"domingo, 04/07",46%,VALINHOS,3556206
18201,18201,DRS 07 Campinas,"domingo, 04/10",43.86363636363637,VALINHOS,3556206
18161,18161,DRS 07 Campinas,"domingo, 04/10",46%,VALINHOS,3556206
29664,29664,DRS 07 Campinas,"domingo, 05/04",56.72727272727273,VALINHOS,3556206
29624,29624,DRS 07 Campinas,"domingo, 05/04",61%,VALINHOS,3556206
23931,23931,DRS 07 Campinas,"domingo, 05/07",48.90909090909091,VALINHOS,3556206
23891,23891,DRS 07 Campinas,"domingo, 05/07",52%,VALINHOS,3556206
2768,2768,DRS 07 Campinas,"domingo, 06/06",45.72727272727273,VALINHOS,3556206
2728,2728,DRS 07 Campinas,"domingo, 06/06",46%,VALINHOS,3556206
19923,19923,DRS 07 Campinas,"domingo, 06/09",44%,VALINHOS,3556206
19963,19963,DRS 07 Campinas,"domingo, 06/09",43.40909090909091,VALINHOS,3556206
14234,14234,DRS 07 Campinas,"domingo, 06/12",43.13636363636363,VALINHOS,3556206
14194,14194,DRS 07 Campinas,"domingo, 06/12",45%,VALINHOS,3556206
10225,10225,DRS 07 Campinas,"domingo, 07/02",43%,VALINHOS,3556206
10265,10265,DRS 07 Campinas,"domingo, 07/02",44.40909090909091,VALINHOS,3556206
8501,8501,DRS 07 Campinas,"domingo, 07/03",48.5,VALINHOS,3556206
8461,8461,DRS 07 Campinas,"domingo, 07/03",49%,VALINHOS,3556206
25655,25655,DRS 07 Campinas,"domingo, 07/06",50%,VALINHOS,3556206
25695,25695,DRS 07 Campinas,"domingo, 07/06",49.31818181818182,VALINHOS,3556206
31190,31190,DRS 07 Campinas,"domingo, 08/03",39%,VALINHOS,3556206
31230,31230,DRS 07 Campinas,"domingo, 08/03",37.86363636363637,VALINHOS,3556206
15998,15998,DRS 07 Campinas,"domingo, 08/11",44.09090909090909,VALINHOS,3556206
15958,15958,DRS 07 Campinas,"domingo, 08/11",47%,VALINHOS,3556206
4532,4532,DRS 07 Campinas,"domingo, 09/05",44.0,VALINHOS,3556206
4492,4492,DRS 07 Campinas,"domingo, 09/05",44%,VALINHOS,3556206
21727,21727,DRS 07 Campinas,"domingo, 09/08",45.81818181818182,VALINHOS,3556206
21687,21687,DRS 07 Campinas,"domingo, 09/08",49%,VALINHOS,3556206
