,cod_ibge,data,ocupacao_leitos
124353,3523800,2020-10-08,"42,06"
126333,3523800,2020-10-09,"40,94"
124853,3523800,2020-10-10,"37,30"
125273,3523800,2020-10-11,"34,13"
124933,3523800,2020-10-12,"36,15"
126393,3523800,2020-10-13,"37,69"
125993,3523800,2020-10-14,"34,92"
123633,3523800,2020-10-15,"36,51"
124453,3523800,2020-10-16,"40,48"
124093,3523800,2020-10-17,"36,22"
128693,3523800,2020-10-18,"35,43"
127893,3523800,2020-10-19,"37,01"
127453,3523800,2020-10-20,"35,16"
128373,3523800,2020-10-21,"33,59"
127853,3523800,2020-10-22,"34,11"
126873,3523800,2020-10-23,"28,68"
128473,3523800,2020-10-24,"29,84"
127113,3523800,2020-10-25,"36,36"
127673,3523800,2020-10-26,"31,40"
128673,3523800,2020-10-27,"29,75"
127293,3523800,2020-10-28,"29,75"
128593,3523800,2020-10-29,"30,58"
124233,3523800,2020-10-30,"28,33"
123593,3523800,2020-10-31,"29,17"
126533,3523800,2020-11-01,"37,27"
124833,3523800,2020-11-02,"34,86"
125493,3523800,2020-11-03,"34,55"
126553,3523800,2020-11-04,"30,91"
124433,3523800,2020-11-05,"30,00"
124013,3523800,2020-11-06,"30,00"
124513,3523800,2020-11-07,"26,13"
123293,3523800,2020-11-08,"30,28"
123493,3523800,2020-11-09,"29,66"
125753,3523800,2020-11-10,"32,73"
126373,3523800,2020-11-11,"27,27"
125013,3523800,2020-11-12,"22,73"
124893,3523800,2020-11-13,"22,32"
125293,3523800,2020-11-14,"24,78"
125313,3523800,2020-11-15,"20,54"
125473,3523800,2020-11-16,"23,01"
124753,3523800,2020-11-17,"24,78"
124953,3523800,2020-11-18,"26,55"
125633,3523800,2020-11-19,"25,66"
126293,3523800,2020-11-20,"25,66"
126473,3523800,2020-11-21,"24,56"
125673,3523800,2020-11-22,"22,12"
125913,3523800,2020-11-23,"20,72"
125613,3523800,2020-11-24,"27,43"
123733,3523800,2020-11-25,"27,43"
123713,3523800,2020-11-26,"26,05"
123793,3523800,2020-11-27,"23,53"
124473,3523800,2020-11-28,"30,09"
124593,3523800,2020-11-29,"25,47"
123933,3523800,2020-11-30,"27,43"
124113,3523800,2020-12-01,"31,86"
128313,3523800,2020-12-02,"34,26"
127993,3523800,2020-12-03,"27,78"
127253,3523800,2020-12-04,"24,04"
127233,3523800,2020-12-05,"23,15"
127593,3523800,2020-12-06,"23,36"
127553,3523800,2020-12-07,"25,00"
127433,3523800,2020-12-08,"25,00"
126833,3523800,2020-12-09,"27,78"
128873,3523800,2020-12-10,"36,11"
128433,3523800,2020-12-11,"33,33"
128153,3523800,2020-12-12,"32,41"
126993,3523800,2020-12-13,"33,96"
127693,3523800,2020-12-14,"40,74"
127533,3523800,2020-12-15,"35,19"
126653,3523800,2020-12-16,"36,11"
127073,3523800,2020-12-17,"37,04"
128753,3523800,2020-12-18,"36,11"
128513,3523800,2020-12-19,"36,70"
128233,3523800,2020-12-20,"38,53"
128033,3523800,2020-12-21,"38,10"
128813,3523800,2020-12-22,"41,28"
127013,3523800,2020-12-23,"33,33"
126913,3523800,2020-12-24,"38,74"
127793,3523800,2020-12-25,"45,87"
127513,3523800,2020-12-26,"47,71"
127333,3523800,2020-12-27,"50,00"
127773,3523800,2020-12-28,"47,71"
127093,3523800,2020-12-29,"46,79"
128933,3523800,2020-12-30,"47,71"
128333,3523800,2020-12-31,"44,95"
128493,3523800,2021-01-01,"44,55"
126613,3523800,2021-01-02,"44,95"
127973,3523800,2021-01-03,"45,37"
126673,3523800,2021-01-04,"53,21"
127313,3523800,2021-01-05,"57,80"
127573,3523800,2021-01-06,"59,63"
127813,3523800,2021-01-07,"55,96"
126733,3523800,2021-01-08,"62,26"
126973,3523800,2021-01-09,"54,72"
127933,3523800,2021-01-10,"53,72"
128713,3523800,2021-01-11,"57,63"
128113,3523800,2021-01-12,"56,52"
128253,3523800,2021-01-13,"54,78"
124133,3523800,2021-01-14,"52,59"
124053,3523800,2021-01-15,"51,97"
123913,3523800,2021-01-16,"58,47"
