Município1;Código Município IBGE;População estimada (2020);UF1;Data;Média de Índice De Isolamento
AMERICANA;3501608;242018;SP;segunda-feira, 19/07;37%
AMERICANA;3501608;242018;SP;domingo, 18/07;45%
AMERICANA;3501608;242018;SP;sábado, 17/07;39%
AMERICANA;3501608;242018;SP;sexta-feira, 16/07;37%
AMERICANA;3501608;242018;SP;quinta-feira, 15/07;38%
AMERICANA;3501608;242018;SP;quarta-feira, 14/07;38%
AMERICANA;3501608;242018;SP;terça-feira, 13/07;37%
AMERICANA;3501608;242018;SP;segunda-feira, 12/07;37%
AMERICANA;3501608;242018;SP;domingo, 11/07;45%
AMERICANA;3501608;242018;SP;sábado, 10/07;40%
AMERICANA;3501608;242018;SP;sexta-feira, 09/07;40%
AMERICANA;3501608;242018;SP;quinta-feira, 08/07;35%
AMERICANA;3501608;242018;SP;quarta-feira, 07/07;37%
AMERICANA;3501608;242018;SP;terça-feira, 06/07;37%
AMERICANA;3501608;242018;SP;segunda-feira, 05/07;36%
AMERICANA;3501608;242018;SP;domingo, 04/07;45%
AMERICANA;3501608;242018;SP;sábado, 03/07;39%
AMERICANA;3501608;242018;SP;sexta-feira, 02/07;37%
AMERICANA;3501608;242018;SP;quinta-feira, 01/07;38%
AMERICANA;3501608;242018;SP;quarta-feira, 30/06;39%
AMERICANA;3501608;242018;SP;terça-feira, 29/06;38%
AMERICANA;3501608;242018;SP;segunda-feira, 28/06;37%
AMERICANA;3501608;242018;SP;domingo, 27/06;45%
AMERICANA;3501608;242018;SP;sábado, 26/06;41%
AMERICANA;3501608;242018;SP;sexta-feira, 25/06;37%
AMERICANA;3501608;242018;SP;quinta-feira, 24/06;36%
AMERICANA;3501608;242018;SP;quarta-feira, 23/06;36%
AMERICANA;3501608;242018;SP;terça-feira, 22/06;38%
AMERICANA;3501608;242018;SP;segunda-feira, 21/06;37%
AMERICANA;3501608;242018;SP;domingo, 20/06;46%
AMERICANA;3501608;242018;SP;sábado, 19/06;40%
AMERICANA;3501608;242018;SP;sexta-feira, 18/06;37%
AMERICANA;3501608;242018;SP;quinta-feira, 17/06;36%
AMERICANA;3501608;242018;SP;quarta-feira, 16/06;38%
AMERICANA;3501608;242018;SP;terça-feira, 15/06;38%
AMERICANA;3501608;242018;SP;segunda-feira, 14/06;37%
AMERICANA;3501608;242018;SP;domingo, 13/06;43%
AMERICANA;3501608;242018;SP;sábado, 12/06;40%
AMERICANA;3501608;242018;SP;sexta-feira, 11/06;36%
AMERICANA;3501608;242018;SP;quinta-feira, 10/06;37%
AMERICANA;3501608;242018;SP;quarta-feira, 09/06;36%
AMERICANA;3501608;242018;SP;terça-feira, 08/06;37%
AMERICANA;3501608;242018;SP;segunda-feira, 07/06;36%
AMERICANA;3501608;242018;SP;domingo, 06/06;43%
AMERICANA;3501608;242018;SP;sábado, 05/06;41%
AMERICANA;3501608;242018;SP;sexta-feira, 04/06;37%
AMERICANA;3501608;242018;SP;quinta-feira, 03/06;44%
AMERICANA;3501608;242018;SP;quarta-feira, 02/06;36%
AMERICANA;3501608;242018;SP;terça-feira, 01/06;38%
AMERICANA;3501608;242018;SP;segunda-feira, 31/05;37%
AMERICANA;3501608;242018;SP;domingo, 30/05;44%
AMERICANA;3501608;242018;SP;sábado, 29/05;40%
AMERICANA;3501608;242018;SP;sexta-feira, 28/05;36%
AMERICANA;3501608;242018;SP;quinta-feira, 27/05;37%
AMERICANA;3501608;242018;SP;quarta-feira, 26/05;38%
AMERICANA;3501608;242018;SP;terça-feira, 25/05;36%
AMERICANA;3501608;242018;SP;segunda-feira, 24/05;36%
AMERICANA;3501608;242018;SP;domingo, 23/05;44%
AMERICANA;3501608;242018;SP;sábado, 22/05;40%
AMERICANA;3501608;242018;SP;sexta-feira, 21/05;35%
AMERICANA;3501608;242018;SP;quinta-feira, 20/05;35%
AMERICANA;3501608;242018;SP;quarta-feira, 19/05;37%
