,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
0,ADAMANTINA,411.987,35111,82.15,97.6,790,11.63,16.071.867.925,13.708.366.993,30962.66
1,ADOLFO,211.055,3554,16.85,98.6,730,19.23,2.733.374.731,2.010.387.713,25867.75
2,AGUAÍ,474.554,36648,67.72,95.8,715,16.06,8.409.476.006,7.216.873.408,28041.03
3,ÁGUAS DA PRATA,142.673,8221,53.05,98.8,781,25.32,2.939.024.814,2.436.340.149,20683.88
4,ÁGUAS DE LINDÓIA,60.126,18808,287.16,96.2,745,8.37,8.694.922.213,7.520.147.793,26427.34
5,ÁGUAS DE SANTA BÁRBARA,404.463,6109,13.83,98.2,757,23.26,3.448.419.534,2.847.194.804,27620.94
6,ÁGUAS DE SÃO PEDRO,3.612,3521,488.89,98.4,854,38.46,2.515.775.668,2.270.999.284,40220.9
7,AGUDOS,966.708,37401,35.73,97.9,745,12.13,15.998.062.054,14.341.768.289,59513.01
8,ALAMBARI,159.600,6129,30.66,99.3,712,25.00,2.371.099.557,2.183.901.214,16981.63
9,ALFREDO MARCONDES,118.915,4184,32.86,98.6,741,20.83,164.789.668,1.511.197.897,20104.35
10,ALTAIR,313.007,4186,12.16,96.0,687,20.41,2.231.894.651,1.941.076.045,25842.48
11,ALTINÓPOLIS,928.956,16203,16.8,99.3,730,16.39,7.214.419.151,5.543.605.472,30792.08
12,ALTO ALEGRE,318.574,4088,12.86,95.1,700,33.33,208.464.169,1.823.622.271,26207.29
13,ALUMÍNIO,83.660,18767,201.28,98.8,766,20.33,7.539.742.207,7.257.258.372,113887.93
14,ÁLVARES FLORENCE,362.411,3647,10.74,99.3,728,26.32,2.047.081.479,1.824.110.731,32245.7
15,ÁLVARES MACHADO,347.647,24998,67.69,98.3,758,18.13,628.813.731,602.969.844,21374.06
16,ÁLVARO DE CARVALHO,153.662,5274,30.36,99.2,688,17.54,1.794.308.204,1.644.113.972,9632.45
17,ALVINLÂNDIA,84.879,3237,35.38,99.3,722,21.74,153.064.017,1.294.054.398,16190.38
18,AMERICANA,133.912,242018,1572.75,98.0,811,7.47,7.740.325.912,7.097.438.111,47793.48
19,AMÉRICO BRASILIENSE,122.958,41032,280.91,98.6,751,16.00,9.979.119.948,10.079.916.438,24008.7
20,AMÉRICO DE CAMPOS,252.876,5981,22.54,98.2,745,19.61,2.321.851.517,2.140.683.023,19767.04
21,AMPARO,445.323,72677,147.75,95.7,785,5.65,26.229.966.169,24.072.795.422,64804.88
22,ANALÂNDIA,325.953,5056,13.18,99.7,754,21.28,3.122.486.385,309.675.513,37298.53
23,ANDRADINA,964.226,57202,57.39,98.2,779,13.35,16.695.527.105,14.735.321.707,33661.69
24,ANGATUBA,1.027.288,25479,21.61,98.3,719,6.31,8.216.930.165,6.630.615.913,40386.56
