,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25697,INDAIATUBA,3520509,256223,SP,"domingo, 01/03",39%
25455,INDAIATUBA,3520509,256223,SP,"domingo, 01/11",45%
25273,INDAIATUBA,3520509,256223,SP,"domingo, 02/05",48%
25546,INDAIATUBA,3520509,256223,SP,"domingo, 02/08",52%
25392,INDAIATUBA,3520509,256223,SP,"domingo, 03/01",49%
25637,INDAIATUBA,3520509,256223,SP,"domingo, 03/05",59%
25301,INDAIATUBA,3520509,256223,SP,"domingo, 04/04",49%
25210,INDAIATUBA,3520509,256223,SP,"domingo, 04/07",47%
25483,INDAIATUBA,3520509,256223,SP,"domingo, 04/10",45%
25665,INDAIATUBA,3520509,256223,SP,"domingo, 05/04",61%
25574,INDAIATUBA,3520509,256223,SP,"domingo, 05/07",51%
25238,INDAIATUBA,3520509,256223,SP,"domingo, 06/06",47%
25511,INDAIATUBA,3520509,256223,SP,"domingo, 06/09",45%
25420,INDAIATUBA,3520509,256223,SP,"domingo, 06/12",44%
25357,INDAIATUBA,3520509,256223,SP,"domingo, 07/02",45%
25329,INDAIATUBA,3520509,256223,SP,"domingo, 07/03",48%
25602,INDAIATUBA,3520509,256223,SP,"domingo, 07/06",52%
25690,INDAIATUBA,3520509,256223,SP,"domingo, 08/03",39%
25448,INDAIATUBA,3520509,256223,SP,"domingo, 08/11",45%
25266,INDAIATUBA,3520509,256223,SP,"domingo, 09/05",45%
25539,INDAIATUBA,3520509,256223,SP,"domingo, 09/08",49%
25385,INDAIATUBA,3520509,256223,SP,"domingo, 10/01",45%
25630,INDAIATUBA,3520509,256223,SP,"domingo, 10/05",55%
25294,INDAIATUBA,3520509,256223,SP,"domingo, 11/04",50%
25203,INDAIATUBA,3520509,256223,SP,"domingo, 11/07",47%
25476,INDAIATUBA,3520509,256223,SP,"domingo, 11/10",46%
25658,INDAIATUBA,3520509,256223,SP,"domingo, 12/04",61%
25567,INDAIATUBA,3520509,256223,SP,"domingo, 12/07",51%
25231,INDAIATUBA,3520509,256223,SP,"domingo, 13/06",48%
25504,INDAIATUBA,3520509,256223,SP,"domingo, 13/09",46%
25413,INDAIATUBA,3520509,256223,SP,"domingo, 13/12",44%
25350,INDAIATUBA,3520509,256223,SP,"domingo, 14/02",48%
25322,INDAIATUBA,3520509,256223,SP,"domingo, 14/03",49%
25595,INDAIATUBA,3520509,256223,SP,"domingo, 14/06",52%
25441,INDAIATUBA,3520509,256223,SP,"domingo, 15/11",43%
25259,INDAIATUBA,3520509,256223,SP,"domingo, 16/05",47%
25532,INDAIATUBA,3520509,256223,SP,"domingo, 16/08",52%
25378,INDAIATUBA,3520509,256223,SP,"domingo, 17/01",46%
25623,INDAIATUBA,3520509,256223,SP,"domingo, 17/05",54%
25287,INDAIATUBA,3520509,256223,SP,"domingo, 18/04",50%
25196,INDAIATUBA,3520509,256223,SP,"domingo, 18/07",47%
25469,INDAIATUBA,3520509,256223,SP,"domingo, 18/10",45%
25651,INDAIATUBA,3520509,256223,SP,"domingo, 19/04",60%
25560,INDAIATUBA,3520509,256223,SP,"domingo, 19/07",51%
25224,INDAIATUBA,3520509,256223,SP,"domingo, 20/06",46%
25497,INDAIATUBA,3520509,256223,SP,"domingo, 20/09",47%
25406,INDAIATUBA,3520509,256223,SP,"domingo, 20/12",45%
25343,INDAIATUBA,3520509,256223,SP,"domingo, 21/02",46%
25315,INDAIATUBA,3520509,256223,SP,"domingo, 21/03",50%
25588,INDAIATUBA,3520509,256223,SP,"domingo, 21/06",51%
25679,INDAIATUBA,3520509,256223,SP,"domingo, 22/03",59%
25434,INDAIATUBA,3520509,256223,SP,"domingo, 22/11",44%
25252,INDAIATUBA,3520509,256223,SP,"domingo, 23/05",48%
