,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 01 Grande São Paulo,"segunda-feira, 19/07",35%,ARUJÁ,3503901
1,DRS 01 Grande São Paulo,"segunda-feira, 19/07",34%,BARUERI,3505708
2,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,CAIEIRAS,3509007
3,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,CAJAMAR,3509205
4,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,CARAPICUÍBA,3510609
5,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,COTIA,3513009
6,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,DIADEMA,3513801
7,DRS 01 Grande São Paulo,"segunda-feira, 19/07",41%,EMBU DAS ARTES,3515004
8,DRS 01 Grande São Paulo,"segunda-feira, 19/07",43%,EMBU-GUAÇU,3515103
9,DRS 01 Grande São Paulo,"segunda-feira, 19/07",40%,FERRAZ DE VASCONCELOS,3515707
10,DRS 01 Grande São Paulo,"segunda-feira, 19/07",42%,FRANCISCO MORATO,3516309
11,DRS 01 Grande São Paulo,"segunda-feira, 19/07",37%,FRANCO DA ROCHA,3516408
12,DRS 01 Grande São Paulo,"segunda-feira, 19/07",35%,GUARULHOS,3518800
13,DRS 01 Grande São Paulo,"segunda-feira, 19/07",41%,ITAPECERICA DA SERRA,3522208
14,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,ITAPEVI,3522505
15,DRS 01 Grande São Paulo,"segunda-feira, 19/07",37%,ITAQUAQUECETUBA,3523107
16,DRS 01 Grande São Paulo,"segunda-feira, 19/07",36%,JANDIRA,3525003
17,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39%,MAIRIPORÃ,3528502
18,DRS 01 Grande São Paulo,"segunda-feira, 19/07",37%,MAUÁ,3529401
19,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39%,MOGI DAS CRUZES,3530607
20,DRS 01 Grande São Paulo,"segunda-feira, 19/07",36%,OSASCO,3534401
21,DRS 01 Grande São Paulo,"segunda-feira, 19/07",37%,POÁ,3539806
22,DRS 01 Grande São Paulo,"segunda-feira, 19/07",41%,RIBEIRÃO PIRES,3543303
23,DRS 01 Grande São Paulo,"segunda-feira, 19/07",50%,RIO GRANDE DA SERRA,3544103
24,DRS 01 Grande São Paulo,"segunda-feira, 19/07",44%,SANTA ISABEL,3546801
25,DRS 01 Grande São Paulo,"segunda-feira, 19/07",42%,SANTANA DE PARNAÍBA,3547304
26,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39%,SANTO ANDRÉ,3547809
27,DRS 01 Grande São Paulo,"segunda-feira, 19/07",42%,SÃO BERNARDO DO CAMPO,3548708
28,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39%,SÃO CAETANO DO SUL,3548807
29,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,SÃO PAULO,3550308
30,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,SUZANO,3552502
31,DRS 01 Grande São Paulo,"segunda-feira, 19/07",38%,TABOÃO DA SERRA,3552809
32,DRS 01 Grande São Paulo,"segunda-feira, 19/07",44%,VARGEM GRANDE PAULISTA,3556453
33,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,ARUJÁ,3503901
34,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,BARUERI,3505708
35,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,BIRITIBA MIRIM,3506607
36,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,CAIEIRAS,3509007
37,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,CAJAMAR,3509205
38,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,CARAPICUÍBA,3510609
39,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,COTIA,3513009
40,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,DIADEMA,3513801
41,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,EMBU DAS ARTES,3515004
42,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,EMBU-GUAÇU,3515103
43,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,FERRAZ DE VASCONCELOS,3515707
44,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,FRANCISCO MORATO,3516309
45,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,FRANCO DA ROCHA,3516408
46,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,GUARAREMA,3518305
47,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,GUARULHOS,3518800
48,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,ITAPECERICA DA SERRA,3522208
49,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,ITAPEVI,3522505
50,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,ITAQUAQUECETUBA,3523107
51,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,JANDIRA,3525003
52,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,JUQUITIBA,3526209
53,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,MAIRIPORÃ,3528502
54,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,MAUÁ,3529401
55,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,MOGI DAS CRUZES,3530607
56,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,OSASCO,3534401
57,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,PIRAPORA DO BOM JESUS,3539103
58,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,POÁ,3539806
59,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,RIBEIRÃO PIRES,3543303
60,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,RIO GRANDE DA SERRA,3544103
61,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SALESÓPOLIS,3545001
62,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SANTA ISABEL,3546801
63,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SANTANA DE PARNAÍBA,3547304
64,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SANTO ANDRÉ,3547809
65,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SÃO BERNARDO DO CAMPO,3548708
66,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SÃO CAETANO DO SUL,3548807
67,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SÃO LOURENÇO DA SERRA,3549953
68,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SÃO PAULO,3550308
69,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,SUZANO,3552502
70,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,TABOÃO DA SERRA,3552809
71,DRS 01 Grande São Paulo,"segunda-feira, 19/07",39.15151515151515,VARGEM GRANDE PAULISTA,3556453
72,DRS 01 Grande São Paulo,"domingo, 18/07",41%,ARUJÁ,3503901
73,DRS 01 Grande São Paulo,"domingo, 18/07",41%,BARUERI,3505708
74,DRS 01 Grande São Paulo,"domingo, 18/07",44%,CAIEIRAS,3509007
75,DRS 01 Grande São Paulo,"domingo, 18/07",47%,CAJAMAR,3509205
76,DRS 01 Grande São Paulo,"domingo, 18/07",42%,CARAPICUÍBA,3510609
77,DRS 01 Grande São Paulo,"domingo, 18/07",46%,COTIA,3513009
78,DRS 01 Grande São Paulo,"domingo, 18/07",44%,DIADEMA,3513801
79,DRS 01 Grande São Paulo,"domingo, 18/07",47%,EMBU DAS ARTES,3515004
80,DRS 01 Grande São Paulo,"domingo, 18/07",48%,EMBU-GUAÇU,3515103
81,DRS 01 Grande São Paulo,"domingo, 18/07",44%,FERRAZ DE VASCONCELOS,3515707
82,DRS 01 Grande São Paulo,"domingo, 18/07",47%,FRANCISCO MORATO,3516309
83,DRS 01 Grande São Paulo,"domingo, 18/07",42%,FRANCO DA ROCHA,3516408
84,DRS 01 Grande São Paulo,"domingo, 18/07",41%,GUARULHOS,3518800
85,DRS 01 Grande São Paulo,"domingo, 18/07",47%,ITAPECERICA DA SERRA,3522208
86,DRS 01 Grande São Paulo,"domingo, 18/07",44%,ITAPEVI,3522505
87,DRS 01 Grande São Paulo,"domingo, 18/07",40%,ITAQUAQUECETUBA,3523107
88,DRS 01 Grande São Paulo,"domingo, 18/07",38%,JANDIRA,3525003
89,DRS 01 Grande São Paulo,"domingo, 18/07",47%,MAIRIPORÃ,3528502
90,DRS 01 Grande São Paulo,"domingo, 18/07",41%,MAUÁ,3529401
91,DRS 01 Grande São Paulo,"domingo, 18/07",46%,MOGI DAS CRUZES,3530607
92,DRS 01 Grande São Paulo,"domingo, 18/07",42%,OSASCO,3534401
93,DRS 01 Grande São Paulo,"domingo, 18/07",38%,POÁ,3539806
94,DRS 01 Grande São Paulo,"domingo, 18/07",47%,RIBEIRÃO PIRES,3543303
95,DRS 01 Grande São Paulo,"domingo, 18/07",55%,RIO GRANDE DA SERRA,3544103
96,DRS 01 Grande São Paulo,"domingo, 18/07",49%,SANTA ISABEL,3546801
97,DRS 01 Grande São Paulo,"domingo, 18/07",51%,SANTANA DE PARNAÍBA,3547304
98,DRS 01 Grande São Paulo,"domingo, 18/07",45%,SANTO ANDRÉ,3547809
99,DRS 01 Grande São Paulo,"domingo, 18/07",48%,SÃO BERNARDO DO CAMPO,3548708
100,DRS 01 Grande São Paulo,"domingo, 18/07",44%,SÃO CAETANO DO SUL,3548807
101,DRS 01 Grande São Paulo,"domingo, 18/07",45%,SÃO PAULO,3550308
102,DRS 01 Grande São Paulo,"domingo, 18/07",43%,SUZANO,3552502
103,DRS 01 Grande São Paulo,"domingo, 18/07",42%,TABOÃO DA SERRA,3552809
104,DRS 01 Grande São Paulo,"domingo, 18/07",50%,VARGEM GRANDE PAULISTA,3556453
105,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,ARUJÁ,3503901
106,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,BARUERI,3505708
107,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,BIRITIBA MIRIM,3506607
108,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,CAIEIRAS,3509007
109,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,CAJAMAR,3509205
110,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,CARAPICUÍBA,3510609
111,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,COTIA,3513009
112,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,DIADEMA,3513801
113,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,EMBU DAS ARTES,3515004
114,DRS 01 Grande São Paulo,"domingo, 18/07",44.72727272727273,EMBU-GUAÇU,3515103
