,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 02 Araçatuba,"segunda-feira, 19/07",43%,ANDRADINA,3502101
1,DRS 02 Araçatuba,"segunda-feira, 19/07",34%,ARAÇATUBA,3502804
2,DRS 02 Araçatuba,"segunda-feira, 19/07",41%,BIRIGUI,3506508
3,DRS 02 Araçatuba,"segunda-feira, 19/07",51%,PENÁPOLIS,3537305
4,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,ALTO ALEGRE,3501103
5,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,ANDRADINA,3502101
6,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,ARAÇATUBA,3502804
7,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,AURIFLAMA,3504206
8,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,AVANHANDAVA,3504404
9,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BARBOSA,3505104
10,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BENTO DE ABREU,3506201
11,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BILAC,3506409
12,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BIRIGUI,3506508
13,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BRAÚNA,3507704
14,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BREJO ALEGRE,3507753
15,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,BURITAMA,3508108
16,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,CASTILHO,3511003
17,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,CLEMENTINA,3511904
18,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,COROADOS,3512506
19,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,GABRIEL MONTEIRO,3516507
20,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,GLICÉRIO,3517109
21,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,GUARAÇAÍ,3517802
22,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,GUARARAPES,3518206
23,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,GUZOLÂNDIA,3518909
24,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,ILHA SOLTEIRA,3520442
25,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,ITAPURA,3523008
26,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,LAVÍNIA,3526506
27,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,LOURDES,3527256
28,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,LUIZIÂNIA,3527702
29,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,MIRANDÓPOLIS,3530102
30,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,MURUTINGA DO SUL,3532108
31,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,NOVA CASTILHO,3532868
32,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,NOVA INDEPENDÊNCIA,3533205
33,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,NOVA LUZITÂNIA,3533304
34,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,PENÁPOLIS,3537305
35,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,PEREIRA BARRETO,3537404
36,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,PIACATU,3537701
37,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,RUBIÁCEA,3544400
38,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,SANTO ANTÔNIO DO ARACANGUÁ,3548054
39,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,SANTÓPOLIS DO AGUAPEÍ,3548401
40,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,SUD MENNUCCI,3552304
41,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,SUZANÁPOLIS,3552551
42,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,TURIÚBA,3555208
43,DRS 02 Araçatuba,"segunda-feira, 19/07",42.25,VALPARAÍSO,3556305
44,DRS 02 Araçatuba,"domingo, 18/07",47%,ANDRADINA,3502101
45,DRS 02 Araçatuba,"domingo, 18/07",39%,ARAÇATUBA,3502804
46,DRS 02 Araçatuba,"domingo, 18/07",46%,BIRIGUI,3506508
47,DRS 02 Araçatuba,"domingo, 18/07",53%,PENÁPOLIS,3537305
48,DRS 02 Araçatuba,"domingo, 18/07",46.25,ALTO ALEGRE,3501103
49,DRS 02 Araçatuba,"domingo, 18/07",46.25,ANDRADINA,3502101
50,DRS 02 Araçatuba,"domingo, 18/07",46.25,ARAÇATUBA,3502804
51,DRS 02 Araçatuba,"domingo, 18/07",46.25,AURIFLAMA,3504206
52,DRS 02 Araçatuba,"domingo, 18/07",46.25,AVANHANDAVA,3504404
53,DRS 02 Araçatuba,"domingo, 18/07",46.25,BARBOSA,3505104
54,DRS 02 Araçatuba,"domingo, 18/07",46.25,BENTO DE ABREU,3506201
55,DRS 02 Araçatuba,"domingo, 18/07",46.25,BILAC,3506409
56,DRS 02 Araçatuba,"domingo, 18/07",46.25,BIRIGUI,3506508
57,DRS 02 Araçatuba,"domingo, 18/07",46.25,BRAÚNA,3507704
58,DRS 02 Araçatuba,"domingo, 18/07",46.25,BREJO ALEGRE,3507753
59,DRS 02 Araçatuba,"domingo, 18/07",46.25,BURITAMA,3508108
60,DRS 02 Araçatuba,"domingo, 18/07",46.25,CASTILHO,3511003
61,DRS 02 Araçatuba,"domingo, 18/07",46.25,CLEMENTINA,3511904
62,DRS 02 Araçatuba,"domingo, 18/07",46.25,COROADOS,3512506
63,DRS 02 Araçatuba,"domingo, 18/07",46.25,GABRIEL MONTEIRO,3516507
64,DRS 02 Araçatuba,"domingo, 18/07",46.25,GLICÉRIO,3517109
65,DRS 02 Araçatuba,"domingo, 18/07",46.25,GUARAÇAÍ,3517802
66,DRS 02 Araçatuba,"domingo, 18/07",46.25,GUARARAPES,3518206
67,DRS 02 Araçatuba,"domingo, 18/07",46.25,GUZOLÂNDIA,3518909
