,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 04 Baixada Santista,"segunda-feira, 19/07",48%,BERTIOGA,3506359
1,DRS 04 Baixada Santista,"segunda-feira, 19/07",43%,CUBATÃO,3513504
2,DRS 04 Baixada Santista,"segunda-feira, 19/07",41%,GUARUJÁ,3518701
3,DRS 04 Baixada Santista,"segunda-feira, 19/07",43%,ITANHAÉM,3522109
4,DRS 04 Baixada Santista,"segunda-feira, 19/07",44%,MONGAGUÁ,3531100
5,DRS 04 Baixada Santista,"segunda-feira, 19/07",45%,PERUÍBE,3537602
6,DRS 04 Baixada Santista,"segunda-feira, 19/07",41%,PRAIA GRANDE,3541000
7,DRS 04 Baixada Santista,"segunda-feira, 19/07",37%,SANTOS,3548500
8,DRS 04 Baixada Santista,"segunda-feira, 19/07",40%,SÃO VICENTE,3551009
9,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,BERTIOGA,3506359
10,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,CUBATÃO,3513504
11,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,GUARUJÁ,3518701
12,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,ITANHAÉM,3522109
13,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,MONGAGUÁ,3531100
14,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,PERUÍBE,3537602
15,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,PRAIA GRANDE,3541000
16,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,SANTOS,3548500
17,DRS 04 Baixada Santista,"segunda-feira, 19/07",42.44444444444444,SÃO VICENTE,3551009
18,DRS 04 Baixada Santista,"domingo, 18/07",55%,BERTIOGA,3506359
19,DRS 04 Baixada Santista,"domingo, 18/07",51%,CUBATÃO,3513504
20,DRS 04 Baixada Santista,"domingo, 18/07",47%,GUARUJÁ,3518701
21,DRS 04 Baixada Santista,"domingo, 18/07",48%,ITANHAÉM,3522109
22,DRS 04 Baixada Santista,"domingo, 18/07",46%,MONGAGUÁ,3531100
23,DRS 04 Baixada Santista,"domingo, 18/07",51%,PERUÍBE,3537602
24,DRS 04 Baixada Santista,"domingo, 18/07",46%,PRAIA GRANDE,3541000
25,DRS 04 Baixada Santista,"domingo, 18/07",44%,SANTOS,3548500
26,DRS 04 Baixada Santista,"domingo, 18/07",48%,SÃO VICENTE,3551009
27,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,BERTIOGA,3506359
28,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,CUBATÃO,3513504
29,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,GUARUJÁ,3518701
30,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,ITANHAÉM,3522109
31,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,MONGAGUÁ,3531100
32,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,PERUÍBE,3537602
33,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,PRAIA GRANDE,3541000
34,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,SANTOS,3548500
35,DRS 04 Baixada Santista,"domingo, 18/07",48.44444444444444,SÃO VICENTE,3551009
36,DRS 04 Baixada Santista,"sábado, 17/07",54%,BERTIOGA,3506359
37,DRS 04 Baixada Santista,"sábado, 17/07",46%,CUBATÃO,3513504
38,DRS 04 Baixada Santista,"sábado, 17/07",45%,GUARUJÁ,3518701
39,DRS 04 Baixada Santista,"sábado, 17/07",44%,ITANHAÉM,3522109
40,DRS 04 Baixada Santista,"sábado, 17/07",46%,MONGAGUÁ,3531100
41,DRS 04 Baixada Santista,"sábado, 17/07",48%,PERUÍBE,3537602
42,DRS 04 Baixada Santista,"sábado, 17/07",45%,PRAIA GRANDE,3541000
43,DRS 04 Baixada Santista,"sábado, 17/07",38%,SANTOS,3548500
44,DRS 04 Baixada Santista,"sábado, 17/07",45%,SÃO VICENTE,3551009
45,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,BERTIOGA,3506359
46,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,CUBATÃO,3513504
47,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,GUARUJÁ,3518701
48,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,ITANHAÉM,3522109
49,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,MONGAGUÁ,3531100
50,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,PERUÍBE,3537602
51,DRS 04 Baixada Santista,"sábado, 17/07",45.666666666666664,PRAIA GRANDE,3541000
