,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 10 Piracicaba,"segunda-feira, 19/07",37%,ARARAS,3503307
1,DRS 10 Piracicaba,"segunda-feira, 19/07",41%,CAPIVARI,3510401
2,DRS 10 Piracicaba,"segunda-feira, 19/07",46%,LEME,3526704
3,DRS 10 Piracicaba,"segunda-feira, 19/07",34%,LIMEIRA,3526902
4,DRS 10 Piracicaba,"segunda-feira, 19/07",37%,PIRACICABA,3538709
5,DRS 10 Piracicaba,"segunda-feira, 19/07",44%,PIRASSUNUNGA,3539301
6,DRS 10 Piracicaba,"segunda-feira, 19/07",38%,RIO CLARO,3543907
7,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ÁGUAS DE SÃO PEDRO,3500600
8,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ANALÂNDIA,3502002
9,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ARARAS,3503307
10,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,CAPIVARI,3510401
11,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,CHARQUEADA,3511706
12,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,CONCHAL,3512209
13,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,CORDEIRÓPOLIS,3512407
14,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,CORUMBATAÍ,3512704
15,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ELIAS FAUSTO,3514908
16,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ENGENHEIRO COELHO,3515152
17,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,IPEÚNA,3521101
18,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,IRACEMÁPOLIS,3521408
19,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,ITIRAPINA,3523602
20,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,LEME,3526704
21,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,LIMEIRA,3526902
22,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,MOMBUCA,3530904
23,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,PIRACICABA,3538709
24,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,PIRASSUNUNGA,3539301
25,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,RAFARD,3542107
26,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,RIO CLARO,3543907
27,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,RIO DAS PEDRAS,3544004
28,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,SALTINHO,3545159
29,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,SANTA CRUZ DA CONCEIÇÃO,3546207
30,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,SANTA GERTRUDES,3546702
31,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,SANTA MARIA DA SERRA,3547007
32,DRS 10 Piracicaba,"segunda-feira, 19/07",39.57142857142857,SÃO PEDRO,3550407
33,DRS 10 Piracicaba,"domingo, 18/07",47%,ARARAS,3503307
34,DRS 10 Piracicaba,"domingo, 18/07",49%,CAPIVARI,3510401
35,DRS 10 Piracicaba,"domingo, 18/07",53%,LEME,3526704
36,DRS 10 Piracicaba,"domingo, 18/07",40%,LIMEIRA,3526902
37,DRS 10 Piracicaba,"domingo, 18/07",42%,PIRACICABA,3538709
38,DRS 10 Piracicaba,"domingo, 18/07",49%,PIRASSUNUNGA,3539301
39,DRS 10 Piracicaba,"domingo, 18/07",44%,RIO CLARO,3543907
40,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ÁGUAS DE SÃO PEDRO,3500600
41,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ANALÂNDIA,3502002
42,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ARARAS,3503307
43,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,CAPIVARI,3510401
44,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,CHARQUEADA,3511706
45,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,CONCHAL,3512209
46,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,CORDEIRÓPOLIS,3512407
47,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,CORUMBATAÍ,3512704
48,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ELIAS FAUSTO,3514908
49,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ENGENHEIRO COELHO,3515152
50,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,IPEÚNA,3521101
51,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,IRACEMÁPOLIS,3521408
52,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,ITIRAPINA,3523602
53,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,LEME,3526704
54,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,LIMEIRA,3526902
55,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,MOMBUCA,3530904
56,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,PIRACICABA,3538709
57,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,PIRASSUNUNGA,3539301
58,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,RAFARD,3542107
59,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,RIO CLARO,3543907
60,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,RIO DAS PEDRAS,3544004
61,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,SALTINHO,3545159
62,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,SANTA CRUZ DA CONCEIÇÃO,3546207
63,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,SANTA GERTRUDES,3546702
64,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,SANTA MARIA DA SERRA,3547007
65,DRS 10 Piracicaba,"domingo, 18/07",46.285714285714285,SÃO PEDRO,3550407
66,DRS 10 Piracicaba,"sábado, 17/07",40%,ARARAS,3503307
67,DRS 10 Piracicaba,"sábado, 17/07",44%,CAPIVARI,3510401
68,DRS 10 Piracicaba,"sábado, 17/07",47%,LEME,3526704
69,DRS 10 Piracicaba,"sábado, 17/07",35%,LIMEIRA,3526902
70,DRS 10 Piracicaba,"sábado, 17/07",38%,PIRACICABA,3538709
71,DRS 10 Piracicaba,"sábado, 17/07",44%,PIRASSUNUNGA,3539301
72,DRS 10 Piracicaba,"sábado, 17/07",40%,RIO CLARO,3543907
73,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ÁGUAS DE SÃO PEDRO,3500600
74,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ANALÂNDIA,3502002
75,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ARARAS,3503307
76,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,CAPIVARI,3510401
77,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,CHARQUEADA,3511706
78,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,CONCHAL,3512209
79,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,CORDEIRÓPOLIS,3512407
80,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,CORUMBATAÍ,3512704
81,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ELIAS FAUSTO,3514908
82,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ENGENHEIRO COELHO,3515152
83,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,IPEÚNA,3521101
84,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,IRACEMÁPOLIS,3521408
85,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,ITIRAPINA,3523602
86,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,LEME,3526704
87,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,LIMEIRA,3526902
88,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,MOMBUCA,3530904
89,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,PIRACICABA,3538709
90,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,PIRASSUNUNGA,3539301
91,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,RAFARD,3542107
92,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,RIO CLARO,3543907
93,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,RIO DAS PEDRAS,3544004
94,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,SALTINHO,3545159
95,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,SANTA CRUZ DA CONCEIÇÃO,3546207
96,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,SANTA GERTRUDES,3546702
97,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,SANTA MARIA DA SERRA,3547007
98,DRS 10 Piracicaba,"sábado, 17/07",41.142857142857146,SÃO PEDRO,3550407
99,DRS 10 Piracicaba,"sexta-feira, 16/07",38%,ARARAS,3503307
100,DRS 10 Piracicaba,"sexta-feira, 16/07",37%,CAPIVARI,3510401
101,DRS 10 Piracicaba,"sexta-feira, 16/07",46%,LEME,3526704
102,DRS 10 Piracicaba,"sexta-feira, 16/07",32%,LIMEIRA,3526902
103,DRS 10 Piracicaba,"sexta-feira, 16/07",35%,PIRACICABA,3538709
104,DRS 10 Piracicaba,"sexta-feira, 16/07",41%,PIRASSUNUNGA,3539301
105,DRS 10 Piracicaba,"sexta-feira, 16/07",37%,RIO CLARO,3543907
106,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ÁGUAS DE SÃO PEDRO,3500600
107,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ANALÂNDIA,3502002
108,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ARARAS,3503307
109,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,CAPIVARI,3510401
110,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,CHARQUEADA,3511706
111,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,CONCHAL,3512209
112,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,CORDEIRÓPOLIS,3512407
113,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,CORUMBATAÍ,3512704
114,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ELIAS FAUSTO,3514908
115,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ENGENHEIRO COELHO,3515152
116,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,IPEÚNA,3521101
117,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,IRACEMÁPOLIS,3521408
118,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,ITIRAPINA,3523602
119,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,LEME,3526704
120,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,LIMEIRA,3526902
121,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,MOMBUCA,3530904
122,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,PIRACICABA,3538709
123,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,PIRASSUNUNGA,3539301
124,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,RAFARD,3542107
125,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,RIO CLARO,3543907
126,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,RIO DAS PEDRAS,3544004
127,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,SALTINHO,3545159
128,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,SANTA CRUZ DA CONCEIÇÃO,3546207
129,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,SANTA GERTRUDES,3546702
130,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,SANTA MARIA DA SERRA,3547007
131,DRS 10 Piracicaba,"sexta-feira, 16/07",38.0,SÃO PEDRO,3550407
132,DRS 10 Piracicaba,"quinta-feira, 15/07",39%,ARARAS,3503307
133,DRS 10 Piracicaba,"quinta-feira, 15/07",41%,CAPIVARI,3510401
134,DRS 10 Piracicaba,"quinta-feira, 15/07",46%,LEME,3526704
135,DRS 10 Piracicaba,"quinta-feira, 15/07",37%,LIMEIRA,3526902
136,DRS 10 Piracicaba,"quinta-feira, 15/07",37%,PIRACICABA,3538709
137,DRS 10 Piracicaba,"quinta-feira, 15/07",43%,PIRASSUNUNGA,3539301
138,DRS 10 Piracicaba,"quinta-feira, 15/07",38%,RIO CLARO,3543907
139,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ÁGUAS DE SÃO PEDRO,3500600
140,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ANALÂNDIA,3502002
141,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ARARAS,3503307
142,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,CAPIVARI,3510401
143,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,CHARQUEADA,3511706
144,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,CONCHAL,3512209
145,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,CORDEIRÓPOLIS,3512407
146,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,CORUMBATAÍ,3512704
147,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ELIAS FAUSTO,3514908
148,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ENGENHEIRO COELHO,3515152
149,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,IPEÚNA,3521101
150,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,IRACEMÁPOLIS,3521408
151,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,ITIRAPINA,3523602
152,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,LEME,3526704
153,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,LIMEIRA,3526902
154,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,MOMBUCA,3530904
155,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,PIRACICABA,3538709
156,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,PIRASSUNUNGA,3539301
157,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,RAFARD,3542107
158,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,RIO CLARO,3543907
159,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,RIO DAS PEDRAS,3544004
160,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,SALTINHO,3545159
161,DRS 10 Piracicaba,"quinta-feira, 15/07",40.142857142857146,SANTA CRUZ DA CONCEIÇÃO,3546207
