,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35%,PRESIDENTE PRUDENTE,3541406
1,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,ALFREDO MARCONDES,3500808
2,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,ÁLVARES MACHADO,3501301
3,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,ANHUMAS,3502408
4,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,CAIABU,3508900
5,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,CAIUÁ,3509106
6,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,DRACENA,3514403
7,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,EMILIANÓPOLIS,3515129
8,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,ESTRELA DO NORTE,3515301
9,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,EUCLIDES DA CUNHA PAULISTA,3515350
10,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,FLORA RICA,3515806
11,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,IEPÊ,3519907
12,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,INDIANA,3520608
13,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,IRAPURU,3521606
14,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,JOÃO RAMALHO,3525607
15,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,JUNQUEIRÓPOLIS,3526001
16,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,MARABÁ PAULISTA,3528700
17,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,MARTINÓPOLIS,3529203
18,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,MIRANTE DO PARANAPANEMA,3530201
19,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,MONTE CASTELO,3531605
20,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,NANTES,3532157
21,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,NARANDIBA,3532207
22,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,NOVA GUATAPORANGA,3533106
23,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,OURO VERDE,3534807
24,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PANORAMA,3535408
25,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PAULICÉIA,3536406
26,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PIQUEROBI,3538303
27,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PIRAPOZINHO,3539202
28,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PRESIDENTE BERNARDES,3541208
29,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PRESIDENTE EPITÁCIO,3541307
30,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PRESIDENTE PRUDENTE,3541406
31,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,PRESIDENTE VENCESLAU,3541505
32,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,QUATÁ,3541703
33,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,RANCHARIA,3542206
34,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,REGENTE FEIJÓ,3542404
35,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,RIBEIRÃO DOS ÍNDIOS,3543238
36,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,ROSANA,3544251
37,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,SANDOVALINA,3545506
38,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,SANTA MERCEDES,3547106
39,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,SANTO ANASTÁCIO,3547700
40,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,SANTO EXPEDITO,3548302
41,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,SÃO JOÃO DO PAU D'ALHO,3549300
42,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,TACIBA,3552908
43,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,TARABAI,3553906
44,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,TEODORO SAMPAIO,3554300
45,DRS 11 Presidente Prudente,"segunda-feira, 19/07",35.0,TUPI PAULISTA,3555109
46,DRS 11 Presidente Prudente,"domingo, 18/07",42%,PRESIDENTE PRUDENTE,3541406
47,DRS 11 Presidente Prudente,"domingo, 18/07",42.0,ALFREDO MARCONDES,3500808
48,DRS 11 Presidente Prudente,"domingo, 18/07",42.0,ÁLVARES MACHADO,3501301
49,DRS 11 Presidente Prudente,"domingo, 18/07",42.0,ANHUMAS,3502408
50,DRS 11 Presidente Prudente,"domingo, 18/07",42.0,CAIABU,3508900
