,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",44%,ITAPIRA,3522604
1,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",54%,MOCOCA,3530508
2,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",40%,MOGI GUAÇU,3530706
3,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",43%,MOGI MIRIM,3530805
4,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",45%,SÃO JOÃO DA BOA VISTA,3549102
5,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",53%,SÃO JOSÉ DO RIO PARDO,3549706
6,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,AGUAÍ,3500303
7,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,ÁGUAS DA PRATA,3500402
8,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,CACONDE,3508702
9,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,CASA BRANCA,3510807
10,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,DIVINOLÂNDIA,3513900
11,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,ESPÍRITO SANTO DO PINHAL,3515186
12,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,ITAPIRA,3522604
13,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,ITOBI,3523800
14,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,MOCOCA,3530508
15,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,MOGI GUAÇU,3530706
16,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,MOGI MIRIM,3530805
17,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,SANTA CRUZ DAS PALMEIRAS,3546306
18,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,SANTO ANTÔNIO DO JARDIM,3548104
19,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,SÃO JOÃO DA BOA VISTA,3549102
20,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,SÃO JOSÉ DO RIO PARDO,3549706
21,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,SÃO SEBASTIÃO DA GRAMA,3550803
22,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,TAMBAÚ,3553302
23,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,TAPIRATIBA,3553609
24,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,VARGEM GRANDE DO SUL,3556404
25,DRS 14 São João da Boa Vista,"segunda-feira, 19/07",46.5,ESTIVA GERBI,3557303
26,DRS 14 São João da Boa Vista,"domingo, 18/07",45%,ITAPIRA,3522604
27,DRS 14 São João da Boa Vista,"domingo, 18/07",61%,MOCOCA,3530508
28,DRS 14 São João da Boa Vista,"domingo, 18/07",48%,MOGI GUAÇU,3530706
29,DRS 14 São João da Boa Vista,"domingo, 18/07",51%,MOGI MIRIM,3530805
30,DRS 14 São João da Boa Vista,"domingo, 18/07",54%,SÃO JOÃO DA BOA VISTA,3549102
31,DRS 14 São João da Boa Vista,"domingo, 18/07",61%,SÃO JOSÉ DO RIO PARDO,3549706
32,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,AGUAÍ,3500303
33,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,ÁGUAS DA PRATA,3500402
34,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,CACONDE,3508702
35,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,CASA BRANCA,3510807
36,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,DIVINOLÂNDIA,3513900
37,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,ESPÍRITO SANTO DO PINHAL,3515186
38,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,ITAPIRA,3522604
39,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,ITOBI,3523800
40,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,MOCOCA,3530508
41,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,MOGI GUAÇU,3530706
42,DRS 14 São João da Boa Vista,"domingo, 18/07",53.333333333333336,MOGI MIRIM,3530805
