,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 16 Sorocaba,"segunda-feira, 19/07",44%,BOITUVA,3507001
1,DRS 16 Sorocaba,"segunda-feira, 19/07",45%,IBIÚNA,3519709
2,DRS 16 Sorocaba,"segunda-feira, 19/07",41%,ITAPETININGA,3522307
3,DRS 16 Sorocaba,"segunda-feira, 19/07",37%,ITAPEVA,3522406
4,DRS 16 Sorocaba,"segunda-feira, 19/07",54%,ITARARÉ,3523206
5,DRS 16 Sorocaba,"segunda-feira, 19/07",35%,ITU,3523909
6,DRS 16 Sorocaba,"segunda-feira, 19/07",44%,PIEDADE,3537800
7,DRS 16 Sorocaba,"segunda-feira, 19/07",42%,PORTO FELIZ,3540606
8,DRS 16 Sorocaba,"segunda-feira, 19/07",36%,SALTO,3545209
9,DRS 16 Sorocaba,"segunda-feira, 19/07",41%,SÃO ROQUE,3550605
10,DRS 16 Sorocaba,"segunda-feira, 19/07",35%,SOROCABA,3552205
11,DRS 16 Sorocaba,"segunda-feira, 19/07",39%,TATUÍ,3554003
12,DRS 16 Sorocaba,"segunda-feira, 19/07",39%,VOTORANTIM,3557006
13,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ALAMBARI,3500758
14,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ALUMÍNIO,3501152
15,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ANGATUBA,3502200
16,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,APIAÍ,3502705
17,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ARAÇARIGUAMA,3502754
18,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ARAÇOIABA DA SERRA,3502903
19,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,BARRA DO CHAPÉU,3505351
20,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,BOITUVA,3507001
21,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,BOM SUCESSO DE ITARARÉ,3507159
22,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,BURI,3508009
23,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,CAMPINA DO MONTE ALEGRE,3509452
24,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,CAPÃO BONITO,3510203
25,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,CAPELA DO ALTO,3510302
26,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,CERQUILHO,3511508
27,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,CESÁRIO LANGE,3511607
28,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,GUAPIARA,3517604
29,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,GUAREÍ,3518503
30,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,IBIÚNA,3519709
31,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,IPERÓ,3521002
32,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITABERÁ,3521705
33,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITAOCA,3522158
34,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITAPETININGA,3522307
35,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITAPEVA,3522406
36,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITAPIRAPUÃ PAULISTA,3522653
37,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITARARÉ,3523206
38,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,ITU,3523909
39,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,JUMIRIM,3525854
40,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,MAIRINQUE,3528403
41,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,NOVA CAMPINA,3532827
42,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,PIEDADE,3537800
43,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,PILAR DO SUL,3537909
44,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,PORTO FELIZ,3540606
45,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,QUADRA,3541653
46,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,RIBEIRA,3542800
47,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,RIBEIRÃO BRANCO,3543006
48,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,RIBEIRÃO GRANDE,3543253
49,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,RIVERSUL,3543501
50,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SALTO,3545209
51,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SALTO DE PIRAPORA,3545308
52,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SÃO MIGUEL ARCANJO,3550209
53,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SÃO ROQUE,3550605
54,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SARAPUÍ,3551108
55,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,SOROCABA,3552205
56,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,TAPIRAÍ,3553500
57,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,TAQUARIVAÍ,3553856
58,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,TATUÍ,3554003
59,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,TIETÊ,3554508
60,DRS 16 Sorocaba,"segunda-feira, 19/07",40.92307692307692,VOTORANTIM,3557006
61,DRS 16 Sorocaba,"domingo, 18/07",49%,BOITUVA,3507001
62,DRS 16 Sorocaba,"domingo, 18/07",51%,IBIÚNA,3519709
63,DRS 16 Sorocaba,"domingo, 18/07",46%,ITAPETININGA,3522307
64,DRS 16 Sorocaba,"domingo, 18/07",44%,ITAPEVA,3522406
65,DRS 16 Sorocaba,"domingo, 18/07",54%,ITARARÉ,3523206
66,DRS 16 Sorocaba,"domingo, 18/07",42%,ITU,3523909
67,DRS 16 Sorocaba,"domingo, 18/07",52%,PIEDADE,3537800
68,DRS 16 Sorocaba,"domingo, 18/07",49%,PORTO FELIZ,3540606
69,DRS 16 Sorocaba,"domingo, 18/07",42%,SALTO,3545209
70,DRS 16 Sorocaba,"domingo, 18/07",48%,SÃO ROQUE,3550605
71,DRS 16 Sorocaba,"domingo, 18/07",41%,SOROCABA,3552205
72,DRS 16 Sorocaba,"domingo, 18/07",45%,TATUÍ,3554003
73,DRS 16 Sorocaba,"domingo, 18/07",45%,VOTORANTIM,3557006
74,DRS 16 Sorocaba,"domingo, 18/07",46.76923076923077,ALAMBARI,3500758
75,DRS 16 Sorocaba,"domingo, 18/07",46.76923076923077,ALUMÍNIO,3501152
