,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
36108,36108,DRS 01 Grande São Paulo,"domingo, 01/03",36.72727272727273,TABOÃO DA SERRA,3552809
36069,36069,DRS 01 Grande São Paulo,"domingo, 01/03",38%,TABOÃO DA SERRA,3552809
18788,18788,DRS 01 Grande São Paulo,"domingo, 01/11",45.696969696969695,TABOÃO DA SERRA,3552809
18749,18749,DRS 01 Grande São Paulo,"domingo, 01/11",46%,TABOÃO DA SERRA,3552809
5647,5647,DRS 01 Grande São Paulo,"domingo, 02/05",44%,TABOÃO DA SERRA,3552809
5686,5686,DRS 01 Grande São Paulo,"domingo, 02/05",46.72727272727273,TABOÃO DA SERRA,3552809
25340,25340,DRS 01 Grande São Paulo,"domingo, 02/08",48.09090909090909,TABOÃO DA SERRA,3552809
25301,25301,DRS 01 Grande São Paulo,"domingo, 02/08",46%,TABOÃO DA SERRA,3552809
14215,14215,DRS 01 Grande São Paulo,"domingo, 03/01",46%,TABOÃO DA SERRA,3552809
14254,14254,DRS 01 Grande São Paulo,"domingo, 03/01",49.54545454545455,TABOÃO DA SERRA,3552809
31852,31852,DRS 01 Grande São Paulo,"domingo, 03/05",59%,TABOÃO DA SERRA,3552809
31891,31891,DRS 01 Grande São Paulo,"domingo, 03/05",62.15151515151515,TABOÃO DA SERRA,3552809
7702,7702,DRS 01 Grande São Paulo,"domingo, 04/04",49.54545454545455,TABOÃO DA SERRA,3552809
7663,7663,DRS 01 Grande São Paulo,"domingo, 04/04",48%,TABOÃO DA SERRA,3552809
1150,1150,DRS 01 Grande São Paulo,"domingo, 04/07",45.303030303030305,TABOÃO DA SERRA,3552809
1111,1111,DRS 01 Grande São Paulo,"domingo, 04/07",44%,TABOÃO DA SERRA,3552809
20804,20804,DRS 01 Grande São Paulo,"domingo, 04/10",45.45454545454545,TABOÃO DA SERRA,3552809
20765,20765,DRS 01 Grande São Paulo,"domingo, 04/10",47%,TABOÃO DA SERRA,3552809
33907,33907,DRS 01 Grande São Paulo,"domingo, 05/04",60.36363636363637,TABOÃO DA SERRA,3552809
33868,33868,DRS 01 Grande São Paulo,"domingo, 05/04",58%,TABOÃO DA SERRA,3552809
27355,27355,DRS 01 Grande São Paulo,"domingo, 05/07",49.09090909090909,TABOÃO DA SERRA,3552809
27316,27316,DRS 01 Grande São Paulo,"domingo, 05/07",48%,TABOÃO DA SERRA,3552809
3166,3166,DRS 01 Grande São Paulo,"domingo, 06/06",45.515151515151516,TABOÃO DA SERRA,3552809
3127,3127,DRS 01 Grande São Paulo,"domingo, 06/06",45%,TABOÃO DA SERRA,3552809
22781,22781,DRS 01 Grande São Paulo,"domingo, 06/09",46%,TABOÃO DA SERRA,3552809
22820,22820,DRS 01 Grande São Paulo,"domingo, 06/09",44.42424242424242,TABOÃO DA SERRA,3552809
16268,16268,DRS 01 Grande São Paulo,"domingo, 06/12",43.90909090909091,TABOÃO DA SERRA,3552809
16229,16229,DRS 01 Grande São Paulo,"domingo, 06/12",44%,TABOÃO DA SERRA,3552809
11695,11695,DRS 01 Grande São Paulo,"domingo, 07/02",45%,TABOÃO DA SERRA,3552809
11734,11734,DRS 01 Grande São Paulo,"domingo, 07/02",45.36363636363637,TABOÃO DA SERRA,3552809
9718,9718,DRS 01 Grande São Paulo,"domingo, 07/03",49.121212121212125,TABOÃO DA SERRA,3552809
9679,9679,DRS 01 Grande São Paulo,"domingo, 07/03",48%,TABOÃO DA SERRA,3552809
29332,29332,DRS 01 Grande São Paulo,"domingo, 07/06",49%,TABOÃO DA SERRA,3552809
29371,29371,DRS 01 Grande São Paulo,"domingo, 07/06",50.333333333333336,TABOÃO DA SERRA,3552809
35629,35629,DRS 01 Grande São Paulo,"domingo, 08/03",35%,TABOÃO DA SERRA,3552809
35668,35668,DRS 01 Grande São Paulo,"domingo, 08/03",36.303030303030305,TABOÃO DA SERRA,3552809
18284,18284,DRS 01 Grande São Paulo,"domingo, 08/11",44.72727272727273,TABOÃO DA SERRA,3552809
18245,18245,DRS 01 Grande São Paulo,"domingo, 08/11",45%,TABOÃO DA SERRA,3552809
5182,5182,DRS 01 Grande São Paulo,"domingo, 09/05",45.0,TABOÃO DA SERRA,3552809
5143,5143,DRS 01 Grande São Paulo,"domingo, 09/05",44%,TABOÃO DA SERRA,3552809
24836,24836,DRS 01 Grande São Paulo,"domingo, 09/08",44.84848484848485,TABOÃO DA SERRA,3552809
24797,24797,DRS 01 Grande São Paulo,"domingo, 09/08",43%,TABOÃO DA SERRA,3552809
13750,13750,DRS 01 Grande São Paulo,"domingo, 10/01",45.696969696969695,TABOÃO DA SERRA,3552809
13711,13711,DRS 01 Grande São Paulo,"domingo, 10/01",45%,TABOÃO DA SERRA,3552809
31387,31387,DRS 01 Grande São Paulo,"domingo, 10/05",57.21212121212121,TABOÃO DA SERRA,3552809
31348,31348,DRS 01 Grande São Paulo,"domingo, 10/05",53%,TABOÃO DA SERRA,3552809
7198,7198,DRS 01 Grande São Paulo,"domingo, 11/04",48.696969696969695,TABOÃO DA SERRA,3552809
7159,7159,DRS 01 Grande São Paulo,"domingo, 11/04",47%,TABOÃO DA SERRA,3552809
607,607,DRS 01 Grande São Paulo,"domingo, 11/07",42%,TABOÃO DA SERRA,3552809
646,646,DRS 01 Grande São Paulo,"domingo, 11/07",44.303030303030305,TABOÃO DA SERRA,3552809
20300,20300,DRS 01 Grande São Paulo,"domingo, 11/10",44.42424242424242,TABOÃO DA SERRA,3552809
20261,20261,DRS 01 Grande São Paulo,"domingo, 11/10",45%,TABOÃO DA SERRA,3552809
33403,33403,DRS 01 Grande São Paulo,"domingo, 12/04",61.90909090909091,TABOÃO DA SERRA,3552809
33364,33364,DRS 01 Grande São Paulo,"domingo, 12/04",60%,TABOÃO DA SERRA,3552809
26851,26851,DRS 01 Grande São Paulo,"domingo, 12/07",48.75757575757576,TABOÃO DA SERRA,3552809
26812,26812,DRS 01 Grande São Paulo,"domingo, 12/07",47%,TABOÃO DA SERRA,3552809
2662,2662,DRS 01 Grande São Paulo,"domingo, 13/06",45.09090909090909,TABOÃO DA SERRA,3552809
2623,2623,DRS 01 Grande São Paulo,"domingo, 13/06",45%,TABOÃO DA SERRA,3552809
22316,22316,DRS 01 Grande São Paulo,"domingo, 13/09",45.39393939393939,TABOÃO DA SERRA,3552809
22277,22277,DRS 01 Grande São Paulo,"domingo, 13/09",48%,TABOÃO DA SERRA,3552809
15766,15766,DRS 01 Grande São Paulo,"domingo, 13/12",43.484848484848484,TABOÃO DA SERRA,3552809
15727,15727,DRS 01 Grande São Paulo,"domingo, 13/12",43%,TABOÃO DA SERRA,3552809
11191,11191,DRS 01 Grande São Paulo,"domingo, 14/02",46%,TABOÃO DA SERRA,3552809
11230,11230,DRS 01 Grande São Paulo,"domingo, 14/02",46.696969696969695,TABOÃO DA SERRA,3552809
9214,9214,DRS 01 Grande São Paulo,"domingo, 14/03",48.333333333333336,TABOÃO DA SERRA,3552809
9175,9175,DRS 01 Grande São Paulo,"domingo, 14/03",46%,TABOÃO DA SERRA,3552809
28828,28828,DRS 01 Grande São Paulo,"domingo, 14/06",50%,TABOÃO DA SERRA,3552809
28867,28867,DRS 01 Grande São Paulo,"domingo, 14/06",50.878787878787875,TABOÃO DA SERRA,3552809
17780,17780,DRS 01 Grande São Paulo,"domingo, 15/11",43.90909090909091,TABOÃO DA SERRA,3552809
17741,17741,DRS 01 Grande São Paulo,"domingo, 15/11",43%,TABOÃO DA SERRA,3552809
4639,4639,DRS 01 Grande São Paulo,"domingo, 16/05",45%,TABOÃO DA SERRA,3552809
4678,4678,DRS 01 Grande São Paulo,"domingo, 16/05",46.333333333333336,TABOÃO DA SERRA,3552809
24332,24332,DRS 01 Grande São Paulo,"domingo, 16/08",49.72727272727273,TABOÃO DA SERRA,3552809
24293,24293,DRS 01 Grande São Paulo,"domingo, 16/08",52%,TABOÃO DA SERRA,3552809
13207,13207,DRS 01 Grande São Paulo,"domingo, 17/01",40%,TABOÃO DA SERRA,3552809
13246,13246,DRS 01 Grande São Paulo,"domingo, 17/01",44.93939393939394,TABOÃO DA SERRA,3552809
30883,30883,DRS 01 Grande São Paulo,"domingo, 17/05",52.90909090909091,TABOÃO DA SERRA,3552809
30844,30844,DRS 01 Grande São Paulo,"domingo, 17/05",50%,TABOÃO DA SERRA,3552809
6694,6694,DRS 01 Grande São Paulo,"domingo, 18/04",48.121212121212125,TABOÃO DA SERRA,3552809
