,DRS,data,media_isolamento,cidade,cod_ibge
0,DRS 04 Baixada Santista,2020-03-01,39.22222222222222,SANTOS,3548500.0
1,DRS 04 Baixada Santista,"domingo, 01/03",37%,SANTOS,3548500.0
2,DRS 04 Baixada Santista,2020-03-02,36.55555555555556,SANTOS,3548500.0
3,DRS 04 Baixada Santista,"segunda-feira, 02/03",32%,SANTOS,3548500.0
4,DRS 04 Baixada Santista,2020-03-03,34%,SANTOS,3548500.0
5,DRS 04 Baixada Santista,"terça-feira, 03/03",38.0,SANTOS,3548500.0
6,DRS 04 Baixada Santista,2020-03-04,37.0,SANTOS,3548500.0
7,DRS 04 Baixada Santista,"quarta-feira, 04/03",32%,SANTOS,3548500.0
8,DRS 04 Baixada Santista,2020-03-05,31%,SANTOS,3548500.0
9,DRS 04 Baixada Santista,"quinta-feira, 05/03",36.625,SANTOS,3548500.0
10,DRS 04 Baixada Santista,2020-03-06,34.375,SANTOS,3548500.0
11,DRS 04 Baixada Santista,"sexta-feira, 06/03",30%,SANTOS,3548500.0
12,DRS 04 Baixada Santista,2020-03-07,36.888888888888886,SANTOS,3548500.0
13,DRS 04 Baixada Santista,"sábado, 07/03",32%,SANTOS,3548500.0
14,DRS 04 Baixada Santista,2020-03-08,34%,SANTOS,3548500.0
15,DRS 04 Baixada Santista,"domingo, 08/03",37.666666666666664,SANTOS,3548500.0
16,DRS 04 Baixada Santista,2020-03-09,35.375,SANTOS,3548500.0
17,DRS 04 Baixada Santista,"segunda-feira, 09/03",31%,SANTOS,3548500.0
18,DRS 04 Baixada Santista,2020-03-10,36.125,SANTOS,3548500.0
19,DRS 04 Baixada Santista,"terça-feira, 10/03",32%,SANTOS,3548500.0
20,DRS 04 Baixada Santista,2020-03-11,31%,SANTOS,3548500.0
21,DRS 04 Baixada Santista,"quarta-feira, 11/03",34.0,SANTOS,3548500.0
22,DRS 04 Baixada Santista,2020-03-12,35.44444444444444,SANTOS,3548500.0
23,DRS 04 Baixada Santista,"quinta-feira, 12/03",26%,SANTOS,3548500.0
24,DRS 04 Baixada Santista,2020-03-13,36.77777777777778,SANTOS,3548500.0
25,DRS 04 Baixada Santista,"sexta-feira, 13/03",29%,SANTOS,3548500.0
26,DRS 04 Baixada Santista,2020-03-17,37%,SANTOS,3548500.0
27,DRS 04 Baixada Santista,"terça-feira, 17/03",43.22222222222222,SANTOS,3548500.0
28,DRS 04 Baixada Santista,2020-03-18,39%,SANTOS,3548500.0
29,DRS 04 Baixada Santista,"quarta-feira, 18/03",44.111111111111114,SANTOS,3548500.0
30,DRS 04 Baixada Santista,2020-03-19,45.55555555555556,SANTOS,3548500.0
31,DRS 04 Baixada Santista,"quinta-feira, 19/03",42%,SANTOS,3548500.0
32,DRS 04 Baixada Santista,2020-03-20,47.55555555555556,SANTOS,3548500.0
33,DRS 04 Baixada Santista,"sexta-feira, 20/03",45%,SANTOS,3548500.0
34,DRS 04 Baixada Santista,2020-03-21,55%,SANTOS,3548500.0
35,DRS 04 Baixada Santista,"sábado, 21/03",55.77777777777778,SANTOS,3548500.0
36,DRS 04 Baixada Santista,2020-03-22,58.111111111111114,SANTOS,3548500.0
37,DRS 04 Baixada Santista,"domingo, 22/03",56%,SANTOS,3548500.0
38,DRS 04 Baixada Santista,2020-03-23,52%,SANTOS,3548500.0
39,DRS 04 Baixada Santista,"segunda-feira, 23/03",53.333333333333336,SANTOS,3548500.0
40,DRS 04 Baixada Santista,2020-03-24,55.0,SANTOS,3548500.0
41,DRS 04 Baixada Santista,"terça-feira, 24/03",53%,SANTOS,3548500.0
42,DRS 04 Baixada Santista,2020-03-25,55.666666666666664,SANTOS,3548500.0
43,DRS 04 Baixada Santista,"quarta-feira, 25/03",54%,SANTOS,3548500.0
44,DRS 04 Baixada Santista,2020-03-26,54.666666666666664,SANTOS,3548500.0
45,DRS 04 Baixada Santista,"quinta-feira, 26/03",54%,SANTOS,3548500.0
46,DRS 04 Baixada Santista,2020-03-27,54.55555555555556,SANTOS,3548500.0
47,DRS 04 Baixada Santista,"sexta-feira, 27/03",53%,SANTOS,3548500.0
48,DRS 04 Baixada Santista,2020-03-28,55%,SANTOS,3548500.0
49,DRS 04 Baixada Santista,"sábado, 28/03",56.333333333333336,SANTOS,3548500.0
50,DRS 04 Baixada Santista,2020-03-29,58%,SANTOS,3548500.0
51,DRS 04 Baixada Santista,"domingo, 29/03",58.888888888888886,SANTOS,3548500.0
52,DRS 04 Baixada Santista,2020-03-30,56%,SANTOS,3548500.0
53,DRS 04 Baixada Santista,"segunda-feira, 30/03",57.666666666666664,SANTOS,3548500.0
54,DRS 04 Baixada Santista,2020-03-31,57.333333333333336,SANTOS,3548500.0
55,DRS 04 Baixada Santista,"terça-feira, 31/03",55%,SANTOS,3548500.0
56,DRS 04 Baixada Santista,2020-04-01,55.666666666666664,SANTOS,3548500.0
57,DRS 04 Baixada Santista,"quarta-feira, 01/04",54%,SANTOS,3548500.0
58,DRS 04 Baixada Santista,2020-04-02,55%,SANTOS,3548500.0
59,DRS 04 Baixada Santista,"quinta-feira, 02/04",56.0,SANTOS,3548500.0
60,DRS 04 Baixada Santista,2020-04-03,54%,SANTOS,3548500.0
61,DRS 04 Baixada Santista,"sexta-feira, 03/04",55.111111111111114,SANTOS,3548500.0
62,DRS 04 Baixada Santista,2020-04-04,58%,SANTOS,3548500.0
63,DRS 04 Baixada Santista,"sábado, 04/04",57.888888888888886,SANTOS,3548500.0
64,DRS 04 Baixada Santista,2020-04-05,58.55555555555556,SANTOS,3548500.0
65,DRS 04 Baixada Santista,"domingo, 05/04",59%,SANTOS,3548500.0
66,DRS 04 Baixada Santista,2020-04-06,52%,SANTOS,3548500.0
67,DRS 04 Baixada Santista,"segunda-feira, 06/04",53.111111111111114,SANTOS,3548500.0
68,DRS 04 Baixada Santista,2020-04-07,53.111111111111114,SANTOS,3548500.0
69,DRS 04 Baixada Santista,"terça-feira, 07/04",51%,SANTOS,3548500.0
70,DRS 04 Baixada Santista,2020-04-08,52.333333333333336,SANTOS,3548500.0
71,DRS 04 Baixada Santista,"quarta-feira, 08/04",51%,SANTOS,3548500.0
72,DRS 04 Baixada Santista,2020-04-09,51.44444444444444,SANTOS,3548500.0
73,DRS 04 Baixada Santista,"quinta-feira, 09/04",48%,SANTOS,3548500.0
74,DRS 04 Baixada Santista,2020-04-10,59.111111111111114,SANTOS,3548500.0
75,DRS 04 Baixada Santista,"sexta-feira, 10/04",57%,SANTOS,3548500.0
76,DRS 04 Baixada Santista,2020-04-11,56.888888888888886,SANTOS,3548500.0
77,DRS 04 Baixada Santista,"sábado, 11/04",54%,SANTOS,3548500.0
78,DRS 04 Baixada Santista,2020-04-12,59.888888888888886,SANTOS,3548500.0
79,DRS 04 Baixada Santista,"domingo, 12/04",58%,SANTOS,3548500.0
80,DRS 04 Baixada Santista,2020-04-13,53.333333333333336,SANTOS,3548500.0
81,DRS 04 Baixada Santista,"segunda-feira, 13/04",49%,SANTOS,3548500.0
82,DRS 04 Baixada Santista,2020-04-14,53.666666666666664,SANTOS,3548500.0
83,DRS 04 Baixada Santista,"terça-feira, 14/04",48%,SANTOS,3548500.0
84,DRS 04 Baixada Santista,2020-04-15,49%,SANTOS,3548500.0
85,DRS 04 Baixada Santista,"quarta-feira, 15/04",53.888888888888886,SANTOS,3548500.0
86,DRS 04 Baixada Santista,2020-04-16,53.333333333333336,SANTOS,3548500.0
87,DRS 04 Baixada Santista,"quinta-feira, 16/04",49%,SANTOS,3548500.0
88,DRS 04 Baixada Santista,2020-04-17,53.0,SANTOS,3548500.0
