,cod_ibge,data,ocupacao_leitos
90392,3556602,2020-10-08,"39,38"
84392,3556602,2020-10-09,"38,75"
83252,3556602,2020-10-10,"41,94"
87812,3556602,2020-10-11,"38,51"
86552,3556602,2020-10-12,"35,76"
87452,3556602,2020-10-13,"41,21"
85232,3556602,2020-10-14,"44,72"
88832,3556602,2020-10-15,"44,23"
91112,3556602,2020-10-16,"42,24"
90872,3556602,2020-10-17,"46,58"
91232,3556602,2020-10-18,"44,38"
83432,3556602,2020-10-19,"46,30"
87032,3556602,2020-10-20,"39,13"
86792,3556602,2020-10-21,"35,40"
87392,3556602,2020-10-22,"38,51"
84152,3556602,2020-10-23,"38,51"
89972,3556602,2020-10-24,"36,42"
90212,3556602,2020-10-25,"44,30"
84812,3556602,2020-10-26,"41,98"
87572,3556602,2020-10-27,"42,59"
85832,3556602,2020-10-28,"42,59"
82772,3556602,2020-10-29,"41,36"
89852,3556602,2020-10-30,"41,36"
90092,3556602,2020-10-31,"35,80"
85292,3556602,2020-11-01,"30,25"
85712,3556602,2020-11-02,"29,63"
88052,3556602,2020-11-03,"32,72"
83972,3556602,2020-11-04,"31,68"
89012,3556602,2020-11-05,"32,92"
90632,3556602,2020-11-06,"34,78"
89492,3556602,2020-11-07,"37,89"
89552,3556602,2020-11-08,"37,27"
90932,3556602,2020-11-09,"38,06"
84572,3556602,2020-11-10,"41,29"
85052,3556602,2020-11-11,"38,06"
82832,3556602,2020-11-12,"40,00"
83912,3556602,2020-11-13,"41,29"
87092,3556602,2020-11-14,"40,00"
88112,3556602,2020-11-15,"40,76"
85892,3556602,2020-11-16,"41,29"
86492,3556602,2020-11-17,"37,42"
86312,3556602,2020-11-18,"41,94"
85652,3556602,2020-11-19,"39,35"
87272,3556602,2020-11-20,"38,71"
83672,3556602,2020-11-21,"37,91"
83132,3556602,2020-11-22,"41,94"
85172,3556602,2020-11-23,"42,14"
84272,3556602,2020-11-24,"49,34"
91052,3556602,2020-11-25,"41,83"
89312,3556602,2020-11-26,"40,65"
89132,3556602,2020-11-27,"43,87"
84752,3556602,2020-11-28,"45,81"
88532,3556602,2020-11-29,"45,16"
90452,3556602,2020-11-30,"48,72"
88952,3556602,2020-12-01,"48,39"
88472,3556602,2020-12-02,"51,33"
85412,3556602,2020-12-03,"44,00"
83012,3556602,2020-12-04,"46,45"
83792,3556602,2020-12-05,"48,00"
87152,3556602,2020-12-06,"49,33"
87992,3556602,2020-12-07,"49,33"
86852,3556602,2020-12-08,"50,00"
86612,3556602,2020-12-09,"52,67"
86252,3556602,2020-12-10,"50,63"
88172,3556602,2020-12-11,"53,33"
87332,3556602,2020-12-12,"54,84"
83612,3556602,2020-12-13,"54,84"
82892,3556602,2020-12-14,"54,19"
84932,3556602,2020-12-15,"58,71"
85472,3556602,2020-12-16,"63,87"
88892,3556602,2020-12-17,"61,78"
88652,3556602,2020-12-18,"59,87"
89732,3556602,2020-12-19,"61,15"
90752,3556602,2020-12-20,"59,87"
88772,3556602,2020-12-21,"66,24"
90992,3556602,2020-12-22,"66,24"
89072,3556602,2020-12-23,"66,67"
89432,3556602,2020-12-24,"67,52"
90512,3556602,2020-12-25,"69,23"
84512,3556602,2020-12-26,"65,19"
85112,3556602,2020-12-27,"72,33"
82712,3556602,2020-12-28,"71,25"
83072,3556602,2020-12-29,"71,79"
83732,3556602,2020-12-30,"68,35"
85592,3556602,2020-12-31,"71,34"
87692,3556602,2021-01-01,"70,06"
86972,3556602,2021-01-02,"75,16"
86072,3556602,2021-01-03,"75,32"
86372,3556602,2021-01-04,"75,95"
88412,3556602,2021-01-05,"76,10"
86012,3556602,2021-01-06,"76,88"
88232,3556602,2021-01-07,"81,01"
88292,3556602,2021-01-08,"79,75"
86912,3556602,2021-01-09,"81,01"
83552,3556602,2021-01-10,"83,23"
83372,3556602,2021-01-11,"82,61"
83312,3556602,2021-01-12,"83,75"
84692,3556602,2021-01-13,"85,71"
84212,3556602,2021-01-14,"85,88"
90272,3556602,2021-01-15,"89,47"
89672,3556602,2021-01-16,"91,81"
90572,3556602,2021-01-17,"90,06"
88592,3556602,2021-01-18,"85,88"
90812,3556602,2021-01-19,"85,80"
90692,3556602,2021-01-20,"84,62"
89912,3556602,2021-01-21,"87,91"
89612,3556602,2021-01-22,"85,56"
90152,3556602,2021-01-23,"85,41"
90032,3556602,2021-01-24,"83,33"
88352,3556602,2021-01-25,"81,87"
84632,3556602,2021-01-26,"84,46"
85352,3556602,2021-01-27,"81,96"
82952,3556602,2021-01-28,"81,12"
83492,3556602,2021-01-29,"75,38"
85532,3556602,2021-01-30,"79,90"
87512,3556602,2021-01-31,"76,73"
87932,3556602,2021-02-01,"76,68"
85772,3556602,2021-02-02,"78,24"
86132,3556602,2021-02-03,"74,75"
86672,3556602,2021-02-04,"70,44"
86432,3556602,2021-02-05,"71,72"
85952,3556602,2021-02-06,"72,50"
87632,3556602,2021-02-07,"73,63"
87752,3556602,2021-02-08,"69,80"
87212,3556602,2021-02-09,"74,37"
83852,3556602,2021-02-10,"72,36"
83192,3556602,2021-02-11,"75,63"
84092,3556602,2021-02-12,"72,00"
84872,3556602,2021-02-13,"72,00"
84452,3556602,2021-02-14,"75,76"
90332,3556602,2021-02-15,"74,87"
89372,3556602,2021-02-16,"74,50"
88712,3556602,2021-02-17,"75,88"
91172,3556602,2021-02-18,"75,50"
89192,3556602,2021-02-19,"78,50"
82652,3556602,2021-02-20,"78,43"
75932,3556602,2021-02-21,"79,81"
74972,3556602,2021-02-22,"80,29"
75872,3556602,2021-02-23,"80,77"
76712,3556602,2021-02-24,"79,81"
76892,3556602,2021-02-25,"77,03"
80492,3556602,2021-02-26,"77,88"
79952,3556602,2021-02-27,"80,77"
81212,3556602,2021-02-28,"81,34"
81992,3556602,2021-03-01,"82,30"
81512,3556602,2021-03-02,"85,17"
78092,3556602,2021-03-03,"86,60"
77612,3556602,2021-03-04,"85,78"
77072,3556602,2021-03-05,"88,04"
79412,3556602,2021-03-06,"90,05"
78992,3556602,2021-03-07,"79,45"
78452,3556602,2021-03-08,"91,93"
78692,3556602,2021-03-09,"93,78"
79172,3556602,2021-03-10,"95,15"
78932,3556602,2021-03-11,"95,20"
77252,3556602,2021-03-12,"91,74"
77732,3556602,2021-03-13,"93,22"
78032,3556602,2021-03-14,"91,60"
81452,3556602,2021-03-15,"96,96"
81932,3556602,2021-03-16,"96,07"
82352,3556602,2021-03-17,"96,96"
80372,3556602,2021-03-18,"94,83"
80252,3556602,2021-03-19,"95,71"
80612,3556602,2021-03-20,"92,70"
75152,3556602,2021-03-21,"95,76"
74192,3556602,2021-03-22,"95,73"
76052,3556602,2021-03-23,"96,65"
75272,3556602,2021-03-24,"96,23"
75452,3556602,2021-03-25,"96,67"
76352,3556602,2021-03-26,"96,23"
74132,3556602,2021-03-27,"93,88"
74372,3556602,2021-03-28,"96,68"
74252,3556602,2021-03-29,"92,53"
76472,3556602,2021-03-30,"95,06"
76112,3556602,2021-03-31,"95,44"
75812,3556602,2021-04-01,"95,88"
75512,3556602,2021-04-02,"95,92"
75092,3556602,2021-04-03,"96,36"
75032,3556602,2021-04-04,"95,16"
75212,3556602,2021-04-05,"95,55"
75572,3556602,2021-04-06,"94,82"
75692,3556602,2021-04-07,"94,05"
75992,3556602,2021-04-08,"94,42"
76292,3556602,2021-04-09,"95,60"
76532,3556602,2021-04-10,"94,38"
76652,3556602,2021-04-11,"94,49"
74432,3556602,2021-04-12,"94,07"
74492,3556602,2021-04-13,"94,86"
82532,3556602,2021-04-14,"96,06"
80852,3556602,2021-04-15,"94,21"
80732,3556602,2021-04-16,"94,14"
81032,3556602,2021-04-17,"96,15"
80432,3556602,2021-04-18,"96,20"
80132,3556602,2021-04-19,"94,42"
80012,3556602,2021-04-20,"96,53"
79892,3556602,2021-04-21,"95,56"
81092,3556602,2021-04-22,"94,57"
82592,3556602,2021-04-23,"93,39"
82412,3556602,2021-04-24,"94,25"
82232,3556602,2021-04-25,"95,28"
82172,3556602,2021-04-26,"94,49"
82052,3556602,2021-04-27,"95,26"
81812,3556602,2021-04-28,"95,24"
81752,3556602,2021-04-29,"96,83"
81632,3556602,2021-04-30,"95,67"
81392,3556602,2021-05-01,"93,02"
81272,3556602,2021-05-02,"95,74"
78212,3556602,2021-05-03,"94,98"
77912,3556602,2021-05-04,"96,15"
77852,3556602,2021-05-05,"96,54"
78152,3556602,2021-05-06,"95,74"
77432,3556602,2021-05-07,"96,11"
77372,3556602,2021-05-08,"93,16"
77132,3556602,2021-05-09,"94,59"
77012,3556602,2021-05-10,"95,75"
77492,3556602,2021-05-11,"95,82"
78332,3556602,2021-05-12,"95,44"
79472,3556602,2021-05-13,"94,68"
79292,3556602,2021-05-14,"95,02"
79112,3556602,2021-05-15,"94,66"
79592,3556602,2021-05-16,"92,34"
78812,3556602,2021-05-17,"95,79"
78572,3556602,2021-05-18,"96,18"
78512,3556602,2021-05-19,"96,59"
76832,3556602,2021-05-20,"97,01"
78632,3556602,2021-05-21,"97,37"
78872,3556602,2021-05-22,"97,76"
79052,3556602,2021-05-23,"97,37"
79232,3556602,2021-05-24,"97,37"
79352,3556602,2021-05-25,"98,12"
79532,3556602,2021-05-26,"96,62"
78272,3556602,2021-05-27,"93,66"
76952,3556602,2021-05-28,"93,38"
77192,3556602,2021-05-29,"96,28"
77312,3556602,2021-05-30,"96,72"
77552,3556602,2021-05-31,"95,31"
77672,3556602,2021-06-01,"92,58"
77792,3556602,2021-06-02,"94,79"
77972,3556602,2021-06-03,"96,35"
79652,3556602,2021-06-04,"95,59"
79712,3556602,2021-06-05,"93,75"
81332,3556602,2021-06-06,"94,44"
81572,3556602,2021-06-07,"96,30"
81872,3556602,2021-06-08,"96,67"
82112,3556602,2021-06-09,"95,99"
82292,3556602,2021-06-10,"95,62"
82472,3556602,2021-06-11,"96,32"
81152,3556602,2021-06-12,"92,13"
79832,3556602,2021-06-13,"95,94"
80072,3556602,2021-06-14,"95,20"
80192,3556602,2021-06-15,"94,40"
80312,3556602,2021-06-16,"95,24"
80552,3556602,2021-06-17,"96,38"
80672,3556602,2021-06-18,"94,20"
80792,3556602,2021-06-19,"93,57"
80912,3556602,2021-06-20,"94,64"
74732,3556602,2021-06-21,"95,76"
74792,3556602,2021-06-22,"96,09"
74612,3556602,2021-06-23,"92,50"
76592,3556602,2021-06-24,"91,72"
76232,3556602,2021-06-25,"94,44"
75752,3556602,2021-06-26,"94,48"
75392,3556602,2021-06-27,"92,41"
74852,3556602,2021-06-28,"92,39"
75332,3556602,2021-06-29,"92,41"
75632,3556602,2021-06-30,"90,38"
76172,3556602,2021-07-01,"88,15"
76412,3556602,2021-07-02,"88,54"
74912,3556602,2021-07-03,"87,99"
74672,3556602,2021-07-04,"85,46"
74552,3556602,2021-07-05,"85,82"
76772,3556602,2021-07-06,"86,48"
81692,3556602,2021-07-07,"88,97"
78392,3556602,2021-07-08,"85,71"
79772,3556602,2021-07-09,"78,01"
80972,3556602,2021-07-10,"73,31"
74312,3556602,2021-07-11,"77,22"
78752,3556602,2021-07-12,"77,34"
89252,3556602,2021-07-13,"75,09"
87872,3556602,2021-07-14,"69,57"
84332,3556602,2021-07-15,"69,18"
84992,3556602,2021-07-16,"72,95"
86732,3556602,2021-07-17,"68,59"
84032,3556602,2021-07-18,"65,58"
86192,3556602,2021-07-19,"67,75"
89792,3556602,2021-07-20,"65,23"
