,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data
368,NOVA CAMPINA,3532827,9860,204,21,0,225,2.0689655172413794,0.2129817444219067,2021-02-21
368,NOVA CAMPINA,3532827,9860,204,5,0,209,2.0689655172413794,0.050709939148073,2021-02-22
368,NOVA CAMPINA,3532827,9860,204,5,0,209,2.0689655172413794,0.050709939148073,2021-02-23
368,NOVA CAMPINA,3532827,9860,204,21,0,225,2.0689655172413794,0.2129817444219067,2021-02-24
368,NOVA CAMPINA,3532827,9860,204,22,0,226,2.0689655172413794,0.2231237322515213,2021-02-25
368,NOVA CAMPINA,3532827,9860,223,22,0,245,2.261663286004057,0.2231237322515213,2021-02-26
368,NOVA CAMPINA,3532827,9860,223,22,0,245,2.261663286004057,0.2231237322515213,2021-02-27
368,NOVA CAMPINA,3532827,9860,223,22,0,245,2.261663286004057,0.2231237322515213,2021-02-28
368,NOVA CAMPINA,3532827,9860,225,22,0,247,2.281947261663286,0.2231237322515213,2021-03-01
368,NOVA CAMPINA,3532827,9860,256,61,0,317,2.5963488843813387,0.6186612576064908,2021-03-02
368,NOVA CAMPINA,3532827,9860,264,78,0,342,2.677484787018256,0.7910750507099391,2021-03-03
368,NOVA CAMPINA,3532827,9860,264,79,0,343,2.677484787018256,0.8012170385395537,2021-03-04
368,NOVA CAMPINA,3532827,9860,267,105,0,372,2.707910750507099,1.0649087221095337,2021-03-05
368,NOVA CAMPINA,3532827,9860,277,105,0,382,2.8093306288032456,1.0649087221095337,2021-03-06
368,NOVA CAMPINA,3532827,9860,277,105,0,382,2.8093306288032456,1.0649087221095337,2021-03-07
368,NOVA CAMPINA,3532827,9860,296,107,0,403,3.002028397565923,1.0851926977687627,2021-03-08
368,NOVA CAMPINA,3532827,9860,307,116,0,423,3.1135902636916835,1.1764705882352942,2021-03-09
368,NOVA CAMPINA,3532827,9860,313,121,0,434,3.1744421906693714,1.2271805273833671,2021-03-10
368,NOVA CAMPINA,3532827,9860,315,137,0,452,3.194726166328601,1.3894523326572008,2021-03-11
368,NOVA CAMPINA,3532827,9860,315,139,0,454,3.194726166328601,1.40973630831643,2021-03-12
368,NOVA CAMPINA,3532827,9860,315,139,0,454,3.194726166328601,1.40973630831643,2021-03-13
368,NOVA CAMPINA,3532827,9860,315,139,0,454,3.194726166328601,1.40973630831643,2021-03-14
368,NOVA CAMPINA,3532827,9860,322,142,0,464,3.2657200811359024,1.4401622718052738,2021-03-15
368,NOVA CAMPINA,3532827,9860,329,142,0,471,3.3367139959432053,1.4401622718052738,2021-03-16
