,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,População Vacinada dose1/População Total,População Vacinada/População Total,data
157,DOLCINÓPOLIS,3514205,2112,85,65,0,150,4.024621212121212,3.077651515151515,2021-02-21
157,DOLCINÓPOLIS,3514205,2112,85,934,0,1019,4.024621212121212,44.22348484848485,2021-02-22
157,DOLCINÓPOLIS,3514205,2112,86,943,0,1029,4.071969696969697,44.64962121212121,2021-02-23
157,DOLCINÓPOLIS,3514205,2112,86,97,0,183,4.071969696969697,4.59280303030303,2021-02-24
157,DOLCINÓPOLIS,3514205,2112,86,98,0,184,4.071969696969697,4.640151515151516,2021-02-25
157,DOLCINÓPOLIS,3514205,2112,97,99,0,196,4.59280303030303,4.6875,2021-02-26
157,DOLCINÓPOLIS,3514205,2112,97,99,0,196,4.59280303030303,4.6875,2021-02-27
157,DOLCINÓPOLIS,3514205,2112,97,99,0,196,4.59280303030303,4.6875,2021-02-28
157,DOLCINÓPOLIS,3514205,2112,120,100,0,220,5.681818181818182,4.734848484848484,2021-03-01
157,DOLCINÓPOLIS,3514205,2112,120,33,0,153,5.681818181818182,1.5625,2021-03-02
157,DOLCINÓPOLIS,3514205,2112,144,33,0,177,6.8181818181818175,1.5625,2021-03-03
157,DOLCINÓPOLIS,3514205,2112,144,33,0,177,6.8181818181818175,1.5625,2021-03-04
157,DOLCINÓPOLIS,3514205,2112,144,34,0,178,6.8181818181818175,1.6098484848484849,2021-03-05
157,DOLCINÓPOLIS,3514205,2112,144,35,0,179,6.8181818181818175,1.6571969696969695,2021-03-06
157,DOLCINÓPOLIS,3514205,2112,144,35,0,179,6.8181818181818175,1.6571969696969695,2021-03-07
157,DOLCINÓPOLIS,3514205,2112,180,36,0,216,8.522727272727272,1.7045454545454544,2021-03-08
157,DOLCINÓPOLIS,3514205,2112,180,36,0,216,8.522727272727272,1.7045454545454544,2021-03-09
157,DOLCINÓPOLIS,3514205,2112,180,48,0,228,8.522727272727272,2.272727272727273,2021-03-10
157,DOLCINÓPOLIS,3514205,2112,187,53,0,240,8.854166666666668,2.509469696969697,2021-03-11
157,DOLCINÓPOLIS,3514205,2112,187,53,0,240,8.854166666666668,2.509469696969697,2021-03-12
157,DOLCINÓPOLIS,3514205,2112,187,53,0,240,8.854166666666668,2.509469696969697,2021-03-13
157,DOLCINÓPOLIS,3514205,2112,187,53,0,240,8.854166666666668,2.509469696969697,2021-03-14
157,DOLCINÓPOLIS,3514205,2112,187,53,0,240,8.854166666666668,2.509469696969697,2021-03-15
157,DOLCINÓPOLIS,3514205,2112,211,53,0,264,9.990530303030305,2.509469696969697,2021-03-16
157,DOLCINÓPOLIS,3514205,2112,222,53,0,275,10.511363636363637,2.509469696969697,2021-03-17
157,DOLCINÓPOLIS,3514205,2112,223,53,0,276,10.55871212121212,2.509469696969697,2021-03-18
157,DOLCINÓPOLIS,3514205,2112,267,53,0,320,12.642045454545457,2.509469696969697,2021-03-19
157,DOLCINÓPOLIS,3514205,2112,273,55,0,328,12.926136363636363,2.604166666666667,2021-03-20
157,DOLCINÓPOLIS,3514205,2112,273,0,0,273,12.926136363636363,0.0,2021-03-21
157,DOLCINÓPOLIS,3514205,2112,273,0,0,273,12.926136363636363,0.0,2021-03-22
157,DOLCINÓPOLIS,3514205,2112,273,63,0,336,12.926136363636363,2.9829545454545454,2021-03-23
157,DOLCINÓPOLIS,3514205,2112,278,75,0,353,13.162878787878787,3.551136363636364,2021-03-24
157,DOLCINÓPOLIS,3514205,2112,278,75,0,353,13.162878787878787,3.551136363636364,2021-03-25
157,DOLCINÓPOLIS,3514205,2112,337,76,0,413,15.956439393939394,3.5984848484848486,2021-03-26
157,DOLCINÓPOLIS,3514205,2112,337,76,0,413,15.956439393939394,3.5984848484848486,2021-03-27
157,DOLCINÓPOLIS,3514205,2112,337,76,0,413,15.956439393939394,3.5984848484848486,2021-03-28
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-03-29
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-03-30
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-03-31
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-04-01
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-04-02
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-04-03
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-04-04
157,DOLCINÓPOLIS,3514205,2112,344,110,0,454,16.28787878787879,5.208333333333334,2021-04-05
157,DOLCINÓPOLIS,3514205,2112,361,143,0,504,17.09280303030303,6.770833333333333,2021-04-06
157,DOLCINÓPOLIS,3514205,2112,361,154,0,515,17.09280303030303,7.291666666666667,2021-04-07
157,DOLCINÓPOLIS,3514205,2112,361,154,0,515,17.09280303030303,7.291666666666667,2021-04-08
157,DOLCINÓPOLIS,3514205,2112,362,204,0,566,17.140151515151516,9.659090909090908,2021-04-09
157,DOLCINÓPOLIS,3514205,2112,362,204,0,566,17.140151515151516,9.659090909090908,2021-04-10
157,DOLCINÓPOLIS,3514205,2112,362,204,0,566,17.140151515151516,9.659090909090908,2021-04-11
157,DOLCINÓPOLIS,3514205,2112,386,207,0,593,18.276515151515152,9.801136363636363,2021-04-12
157,DOLCINÓPOLIS,3514205,2112,403,207,0,610,19.081439393939394,9.801136363636363,2021-04-13
157,DOLCINÓPOLIS,3514205,2112,407,207,0,614,19.270833333333336,9.801136363636363,2021-04-14
157,DOLCINÓPOLIS,3514205,2112,408,207,0,615,19.318181818181817,9.801136363636363,2021-04-15
157,DOLCINÓPOLIS,3514205,2112,411,266,0,677,19.460227272727277,12.594696969696969,2021-04-16
157,DOLCINÓPOLIS,3514205,2112,412,267,0,679,19.50757575757576,12.642045454545457,2021-04-17
157,DOLCINÓPOLIS,3514205,2112,412,267,0,679,19.50757575757576,12.642045454545457,2021-04-18
157,DOLCINÓPOLIS,3514205,2112,416,274,0,690,19.696969696969692,12.973484848484848,2021-04-19
157,DOLCINÓPOLIS,3514205,2112,459,274,0,733,21.732954545454543,12.973484848484848,2021-04-20
157,DOLCINÓPOLIS,3514205,2112,459,274,0,733,21.732954545454543,12.973484848484848,2021-04-21
157,DOLCINÓPOLIS,3514205,2112,459,274,0,733,21.732954545454543,12.973484848484848,2021-04-22
157,DOLCINÓPOLIS,3514205,2112,481,274,0,755,22.77462121212121,12.973484848484848,2021-04-23
157,DOLCINÓPOLIS,3514205,2112,483,274,0,757,22.869318181818183,12.973484848484848,2021-04-24
157,DOLCINÓPOLIS,3514205,2112,483,274,0,757,22.869318181818183,12.973484848484848,2021-04-25
157,DOLCINÓPOLIS,3514205,2112,483,274,0,757,22.869318181818183,12.973484848484848,2021-04-26
157,DOLCINÓPOLIS,3514205,2112,483,300,0,783,22.869318181818183,14.204545454545457,2021-04-27
157,DOLCINÓPOLIS,3514205,2112,483,300,0,783,22.869318181818183,14.204545454545457,2021-04-28
157,DOLCINÓPOLIS,3514205,2112,521,314,0,835,24.66856060606061,14.867424242424242,2021-04-29
157,DOLCINÓPOLIS,3514205,2112,522,314,0,836,24.71590909090909,14.867424242424242,2021-04-30
157,DOLCINÓPOLIS,3514205,2112,522,314,0,836,24.71590909090909,14.867424242424242,2021-05-01
